""	./WT_1	./WT_2	./WT_3	./Y2_1	./Y2_2	./Y2_3	./YT_1	./YT_2	./YT_3
TAPT1	286	278	384	477	339	722	1133	678	504
ENSG00000249234	0	0	0	0	0	0	0	0	0
TAPT1-AS1	40	29	66	56	23	57	55	34	38
RPS21P4	1	1	1	22	2	7	12	7	8
ENSG00000301960	0	0	0	0	0	0	0	0	0
ENSG00000248851	0	0	0	0	0	0	2	0	0
ENSG00000286888	0	0	0	0	0	0	0	0	0
ZEB2P1	0	0	0	0	0	0	1	1	0
ENSG00000248138	1	1	1	2	0	2	2	0	1
ENSG00000293014	0	0	0	0	0	0	0	0	0
ENSG00000301974	0	0	0	0	0	0	0	0	0
LDB2	2867	2695	1302	5283	2672	4636	8884	5620	5160
ENSG00000287081	0	0	0	0	0	0	0	0	0
ENSG00000301938	0	0	0	0	0	0	0	0	0
ENSG00000249998	0	0	0	0	0	0	0	0	0
ENSG00000309610	2	1	0	4	0	0	3	3	0
MTND5P4	0	0	0	0	0	0	0	0	0
LINC02493	0	0	0	0	0	0	0	0	0
ENSG00000306595	0	0	0	0	0	0	0	0	0
SNORA75B	0	0	0	0	0	0	0	0	0
ENSG00000308433	0	0	1	0	0	0	0	1	0
ENSG00000297996	0	0	0	0	0	0	0	0	0
RPS7P6	0	0	0	0	1	0	0	0	0
QDPR	941	778	678	1434	709	1120	1386	789	1279
CLRN2	0	0	0	0	0	0	0	0	0
NACAP5	0	0	0	0	0	0	0	0	0
ENSG00000283219	0	0	0	0	0	0	0	0	0
LAP3	1949	1733	1935	3290	1507	3569	3277	1822	4581
MED28-DT	1	3	9	3	4	5	9	4	7
MED28	4294	4344	2734	8031	4049	6628	11402	7749	6391
FAM184B	28	27	32	12	21	43	47	22	89
ENSG00000298550	0	0	0	0	0	0	0	0	0
DCAF16	1670	1454	2427	1999	856	2854	2854	2008	2167
NCAPG	2988	2720	4694	4702	2814	6544	8328	5272	8655
LCORL	630	590	825	862	953	1755	3166	1408	1515
KRT18P63	0	0	0	0	0	0	0	0	0
ENSG00000303707	0	0	0	0	0	0	0	0	0
ENSG00000294267	0	0	0	0	0	0	0	0	0
ENSG00000299925	0	0	0	0	0	0	0	0	0
ENSG00000286046	0	0	0	0	0	0	0	0	1
ENSG00000251048	0	0	0	0	0	0	0	0	0
ENSG00000301640	0	1	0	8	1	0	1	4	0
ENSG00000301657	0	0	1	0	0	0	0	0	0
ENSG00000279918	0	0	0	0	0	1	0	0	0
LINC02438	2	0	0	0	0	0	0	0	0
ENSG00000294059	2	0	0	0	0	0	0	5	1
RNA5SP157	0	0	0	0	0	0	0	0	0
ENSG00000279379	0	0	0	0	0	0	0	0	0
ENSG00000248515	0	0	0	0	0	0	0	0	0
ENSG00000249441	0	0	0	0	0	0	0	0	0
ENSG00000306584	0	0	0	0	0	0	0	0	0
RPL21P46	1	1	0	13	0	0	26	11	3
ENSG00000306609	0	0	0	0	0	0	0	0	0
ENSG00000250611	0	0	0	0	0	0	0	0	0
ENSG00000306143	0	0	0	0	0	0	0	0	0
SLIT2	369	276	267	303	624	918	1726	556	735
ENSG00000298620	0	0	0	0	0	0	0	0	0
SLIT2-IT1	0	0	0	0	0	0	0	0	0
ENSG00000294010	0	0	0	0	0	0	0	0	0
MIR218-1	0	0	0	0	0	0	0	0	0
ENSG00000303533	0	0	0	0	0	0	0	0	0
PACRGL	441	377	379	643	321	517	748	557	681
ENSG00000306486	0	0	0	0	0	0	0	0	0
KCNIP4	3	2	4	3	3	6	10	6	9
ENSG00000307094	1	1	1	3	1	2	11	5	6
ENSG00000272995	0	1	1	4	1	3	4	6	5
ENSG00000250243	0	0	0	0	0	0	0	0	0
MIR7978	0	0	0	0	0	0	0	0	0
ENSG00000286318	0	0	0	0	0	0	0	0	0
ENSG00000250092	0	0	1	0	0	0	0	0	0
RPL31P25	0	0	0	0	0	0	0	0	0
ENSG00000248343	0	0	0	0	0	0	0	0	0
KCNIP4-IT1	0	0	0	0	0	0	0	0	0
ENSG00000250039	0	0	0	0	0	0	0	0	0
RNU6-420P	0	0	0	0	0	0	0	0	0
ENSG00000306933	0	0	0	0	0	0	1	0	0
ENSG00000308989	0	0	0	0	0	0	0	0	0
ENSG00000289849	0	0	0	0	0	0	1	0	0
ENSG00000309702	4	2	8	5	4	8	11	10	26
ADGRA3	2322	2155	3113	4025	2168	3275	5387	3295	4453
RPS27P13	1	0	0	17	0	2	9	2	0
ENSG00000251516	0	0	0	0	0	0	0	0	0
ENSG00000301713	1	0	0	0	0	0	0	0	0
GBA3	2	3	2	1	1	3	0	2	0
CDC42P6	1306	1337	1087	2340	1387	1893	2960	2421	1786
ENSG00000295430	0	0	0	0	0	0	0	0	0
ENSG00000305187	0	0	0	0	0	0	0	0	0
ENSG00000307489	0	0	0	0	0	0	0	0	0
ENSG00000248837	0	0	0	0	0	0	0	0	0
ENSG00000249547	0	0	0	0	0	0	0	0	0
ENSG00000298732	0	0	0	0	0	0	0	0	0
RFPL4AP3	0	0	0	0	0	0	0	0	0
ENSG00000250137	0	0	0	0	0	0	0	0	0
ERVH-1	5	7	0	23	4	10	14	32	4
PPARGC1A	71	59	113	291	76	192	341	341	198
ENSG00000249453	0	0	0	0	1	0	0	6	0
ENSG00000304770	0	0	1	0	0	0	2	0	0
ENSG00000299878	0	0	0	0	0	0	0	0	0
ENSG00000306947	0	0	0	0	0	0	0	0	0
ENSG00000308193	0	0	0	0	0	4	0	0	1
ENSG00000308883	0	0	0	0	1	0	0	0	0
ENSG00000289902	66	31	211	276	6	13	17	236	1
ENSG00000307768	0	0	0	3	0	0	0	0	0
ENSG00000289201	32	35	38	108	15	43	49	52	18
ENSG00000307788	3	6	7	11	3	6	8	10	9
DHX15	9852	9829	8777	17358	7282	14128	17362	14498	18992
MIR573	15	9	28	10	15	17	20	8	14
RN7SL16P	0	0	0	0	0	0	0	0	0
ENSG00000300621	0	0	0	0	0	0	0	0	0
ENSG00000302939	0	0	0	0	0	0	0	0	0
ATP5MGP3	0	0	0	2	0	0	0	0	0
LINC02473	9	6	22	7	6	9	13	3	12
ENSG00000251638	0	0	0	0	0	0	0	0	0
HNRNPA1P65	1	0	0	0	0	0	0	0	0
SOD3	112	100	83	151	176	107	400	123	90
CCDC149	223	225	361	350	207	518	537	251	576
ENSG00000298600	2	1	1	0	0	2	8	1	3
LGI2	466	405	338	1461	675	1234	2245	1556	1280
ENSG00000300816	0	2	0	2	0	0	1	1	0
ENSG00000296482	1	0	0	0	0	0	0	0	0
SEPSECS	224	199	624	540	356	859	882	435	497
SEPSECS-AS1	18	31	36	68	26	39	130	113	58
PI4K2B	938	884	970	1504	570	1423	1290	1063	1111
ENSG00000304023	6	5	11	12	4	8	15	16	22
ENSG00000271172	2	0	1	0	0	0	0	0	0
ZCCHC4	292	267	422	462	217	491	599	403	416
ANAPC4	888	911	1211	1692	651	1659	1656	1333	1575
ENSG00000298218	0	0	1	0	0	0	0	0	0
ENSG00000249320	0	0	0	0	0	0	0	0	0
ENSG00000248608	0	0	0	0	0	0	0	0	0
ENSG00000297255	0	0	0	0	0	0	0	0	0
ENSG00000248545	0	0	0	0	0	0	0	0	0
ENSG00000306142	0	0	0	0	0	0	1	0	0
RNU7-126P	0	0	0	0	0	0	0	0	0
ENSG00000228154	0	0	0	0	0	0	0	0	0
SLC34A2	95	101	164	97	32	150	174	76	56
RPS29P11	0	0	0	0	0	0	2	0	0
SLIRPP2	0	0	0	0	0	0	0	0	0
MTND4P9	1	1	3	3	4	1	12	8	5
MTND4LP22	0	0	0	0	0	0	0	0	0
MTND3P5	0	0	0	0	0	0	0	0	0
MTCO3P44	0	0	0	0	0	0	1	0	0
SEL1L3	3200	2875	4693	4020	1989	3670	4929	3019	3310
ENSG00000250541	0	0	0	0	0	0	0	0	0
SMIM20	1086	1052	1116	1792	1034	1754	2141	1059	1268
ENSG00000251009	1	0	1	1	0	0	1	0	0
ENSG00000297225	14	18	27	6	13	18	32	5	12
ENSG00000299902	4	6	1	9	1	1	2	2	3
LINC02357	1	0	0	0	0	0	0	0	0
ENSG00000248452	0	0	0	0	0	0	0	0	0
RBPJ	6545	5841	4707	13370	5072	10559	15872	14943	9122
ENSG00000302023	0	0	0	0	0	0	0	0	0
ENSG00000302062	0	0	0	0	0	0	0	0	0
ENSG00000302045	3	3	3	30	2	5	2	30	3
ENSG00000302078	17	12	10	41	11	22	26	34	19
CCKAR	0	0	0	0	0	1	0	0	1
TBC1D19	89	104	95	165	125	214	376	199	248
ENSG00000200999	0	0	0	0	0	0	0	0	0
ENSG00000301508	1	2	1	0	0	0	4	1	2
STIM2	679	657	795	1252	510	1074	1788	1542	1130
STIM2-AS1	1	2	4	5	2	3	13	13	2
PIMREGP4	0	0	0	0	0	0	0	0	0
ENSG00000308649	0	0	0	0	0	0	0	0	0
ENSG00000299438	0	0	0	0	0	0	0	0	0
ENSG00000251080	0	0	0	0	0	0	0	0	0
LINC02261	1	0	2	0	0	0	2	0	0
ENSG00000205830	0	0	0	0	0	0	0	0	0
ENSG00000251325	0	0	0	0	0	0	0	0	0
IGBP1P5	0	0	0	0	0	0	0	0	0
ENSG00000306044	0	0	0	0	0	1	0	0	0
ENSG00000310375	0	0	0	0	0	0	0	0	0
ENSG00000287389	0	1	0	0	0	0	0	0	0
ENSG00000251410	1	1	0	0	0	1	2	0	6
ENSG00000298795	0	0	0	0	0	0	0	0	0
ENSG00000286321	0	0	0	0	0	0	0	0	0
ENSG00000296854	0	0	0	0	0	0	0	0	0
ENSG00000250038	0	0	0	1	0	0	0	0	0
ENSG00000250064	0	0	0	0	0	0	0	0	0
ENSG00000286141	0	0	0	0	0	1	0	0	0
RN7SL101P	0	0	0	0	0	0	0	0	0
MIR4275	0	0	0	0	0	0	0	0	0
MESTP3	9	7	3	11	3	4	4	6	7
ENSG00000298842	0	0	0	0	0	0	0	0	0
LINC02364	0	0	0	0	0	0	0	0	0
ENSG00000276507	0	0	0	0	0	0	0	0	0
ENSG00000297758	0	0	0	0	0	0	0	0	0
ENSG00000249228	0	0	0	0	0	0	0	0	0
ENSG00000248176	0	0	0	0	0	0	0	0	0
LINC02472	0	0	0	0	0	0	0	0	0
ENSG00000251373	0	0	0	0	0	0	0	0	0
ENSG00000251113	0	0	0	0	0	0	0	0	0
EEF1A1P21	0	0	0	0	0	0	0	0	0
ENSG00000302247	0	0	0	0	0	0	0	0	0
ENSG00000249564	0	0	0	0	0	0	0	0	0
RPS3AP17	0	0	0	0	0	0	0	0	0
ENSG00000248281	0	0	0	0	0	0	0	0	0
ENSG00000304626	0	0	0	0	0	0	0	0	0
ENSG00000288940	5	3	5	2	0	1	2	0	0
ENSG00000286596	0	3	15	4	2	3	5	3	0
PCDH7	149	119	852	75	96	104	269	130	139
ENSG00000249678	0	0	0	0	0	0	0	0	0
ENSG00000303168	0	0	0	0	0	0	0	0	0
MTCYBP43	0	0	0	0	0	0	0	0	0
LINC02497	0	0	0	0	0	0	0	0	0
ENSG00000251434	0	0	0	0	0	0	0	0	0
ENSG00000298819	0	0	0	0	0	0	0	0	0
LINC02501	0	0	0	0	0	0	0	0	0
ENSG00000308186	0	0	0	0	0	0	0	0	0
LINC02506	1	0	1	1	0	3	0	1	3
ENSG00000286212	0	0	0	2	0	0	0	0	0
LINC02353	0	0	0	0	0	0	0	0	0
ENSG00000301266	0	0	0	0	0	0	0	0	0
ENSG00000286784	0	0	0	0	0	0	0	0	0
ENSG00000299030	0	0	0	0	0	0	0	0	0
ENSG00000307412	0	0	0	0	0	0	0	0	0
MAPRE1P2	0	2	1	18	3	1	14	5	0
ENSG00000307430	0	0	0	0	0	0	0	0	0
ENSG00000287968	0	0	0	0	0	0	0	0	0
ENSG00000249452	0	0	0	0	0	0	0	0	0
ENSG00000309560	0	0	0	0	0	0	0	0	0
ENSG00000307042	0	0	0	0	0	0	0	0	0
ENSG00000249766	0	0	0	0	0	0	0	0	0
ENSG00000248417	0	0	0	0	0	0	0	0	0
ENSG00000288321	0	0	0	1	0	0	0	0	0
ENSG00000250954	0	0	0	0	0	0	0	0	0
ENSG00000250723	0	0	0	0	0	0	0	0	0
RPL31P31	0	0	0	0	0	0	0	0	0
LINC02484	0	0	0	0	0	0	0	0	1
ENSG00000287320	0	0	0	0	0	0	0	2	0
ENSG00000294855	0	0	0	0	0	0	0	0	0
ENSG00000250597	0	0	0	0	0	0	0	0	0
ENSG00000275250	0	0	0	0	0	0	0	0	0
ENSG00000302470	0	0	0	0	0	0	0	0	0
ENSG00000238694	0	0	0	0	0	0	0	0	0
ENSG00000296945	0	0	0	0	0	0	0	0	0
SEC63P2	0	0	0	0	0	0	0	0	0
RNU6-573P	0	0	0	0	0	0	0	0	0
ENSG00000305825	0	0	0	0	0	0	0	0	0
ARAP2	41	46	118	24	21	79	68	42	77
ENSG00000248466	0	0	0	0	0	0	0	0	0
ENSG00000247193	0	0	0	0	0	0	0	0	0
ENSG00000307330	0	0	0	0	0	0	0	0	0
DTHD1	1	0	0	4	0	0	0	1	0
ENSG00000251438	0	0	0	0	0	0	0	0	0
LINC02505	0	2	3	0	0	1	0	2	0
MIR1255B1	0	0	0	0	0	0	0	0	0
ENSG00000251588	0	0	0	0	0	0	0	0	0
ENSG00000307455	0	0	0	0	0	0	0	0	0
ENSG00000287416	0	0	0	0	1	0	1	0	0
ENSG00000294018	0	0	0	0	0	0	0	0	0
LINC02616	0	0	0	1	0	0	0	1	0
ENSG00000293926	0	0	0	0	0	0	0	0	0
ENSG00000293998	0	0	0	0	0	0	0	0	0
MIR4801	0	0	0	0	0	0	0	0	0
NWD2	5	5	11	11	8	8	15	31	11
C4orf19	38	28	23	54	30	49	86	44	70
ENSG00000288073	0	0	0	0	0	0	3	0	0
ENSG00000248936	5	1	3	1	0	1	5	0	10
RELL1	215	256	145	459	268	443	752	409	334
ENSG00000309616	0	0	0	0	0	0	0	0	0
ENSG00000309602	0	0	0	0	0	4	2	0	1
RPL21P45	0	0	0	0	0	0	0	0	0
PGM2	1375	1382	904	2346	1266	2384	3118	2257	2192
ENSG00000279386	0	0	0	0	0	0	0	0	0
ENSG00000293809	0	0	0	0	0	0	0	0	0
ENSG00000249863	23	21	18	28	17	38	49	20	49
ENSG00000293831	0	0	0	0	0	0	0	0	0
TBC1D1	3724	3467	5053	4953	2209	5878	5823	3559	4788
PTTG2	0	0	3	2	0	1	7	0	1
PSME2P4	0	0	0	0	0	0	0	0	0
MRPS33P2	0	0	0	0	0	0	0	0	0
ENSG00000302423	0	0	0	0	0	0	0	0	0
ENSG00000299611	0	0	0	0	0	0	0	0	0
ENSG00000300640	0	0	0	0	0	0	0	0	0
ENSG00000287659	0	0	0	0	0	0	0	0	0
ENSG00000251642	0	0	0	0	0	0	0	0	0
LINC02513	2	0	1	0	0	1	5	0	1
ENSG00000298789	0	0	0	0	0	0	0	0	0
ENSG00000280015	0	0	0	0	0	0	0	0	0
LINC01258	0	0	0	0	0	0	2	0	0
LINC01259	0	0	0	0	0	0	0	0	0
ENSG00000303434	4	6	6	3	4	6	9	8	11
LINC02278	0	0	0	0	0	0	0	0	0
KLF3-AS1	29	27	80	18	89	144	201	50	155
ENSG00000271958	0	0	0	0	1	0	0	0	0
ENSG00000299929	0	0	2	0	0	0	0	0	0
KLF3	922	850	1173	1233	1174	1619	3713	1775	1995
ENSG00000299908	0	0	0	0	0	0	0	0	0
ENSG00000304123	0	0	0	0	0	0	0	0	0
ENSG00000304147	0	0	0	0	0	0	0	0	0
ENSG00000298871	0	0	0	0	0	0	0	0	0
RNA5SP158	0	0	0	0	0	0	0	0	0
TLR10	0	0	0	0	0	0	0	2	0
TLR1	3	0	2	3	3	3	7	3	2
ENSG00000306984	0	0	0	0	0	0	0	0	0
TLR6	6	5	12	14	1	21	11	19	15
ENSG00000308816	0	0	0	0	0	0	0	0	0
FAM114A1	409	362	453	334	258	407	621	266	559
MIR574	0	0	0	0	0	0	0	0	0
ENSG00000297959	0	0	0	0	0	0	0	0	0
TMEM156	1	0	0	0	0	1	0	0	2
ENSG00000298400	1	0	0	0	1	0	0	0	0
ENSG00000306867	0	0	0	0	0	0	0	0	0
KLHL5	1113	1044	2114	1982	1109	2478	3165	2065	2422
ENSG00000249207	0	1	1	1	0	1	2	1	5
ENSG00000249685	0	0	4	1	0	0	1	4	7
WDR19	523	452	1138	874	494	1355	1521	833	1486
RFC1	3619	3419	4674	4911	2326	7253	7127	4645	8190
RNU6-32P	1	0	0	1	0	2	0	0	4
ENSG00000308113	0	0	0	0	0	0	0	0	0
RNU6-887P	0	0	0	0	0	0	0	0	0
KLB	0	0	0	3	1	0	1	0	1
MIR5591	0	0	0	0	0	0	0	0	0
RPL9	1650	1573	1468	4434	1088	2079	2516	2104	1968
LIAS	353	379	685	849	303	1062	732	587	718
ENSG00000298395	0	0	0	0	0	0	0	0	0
ENSG00000298383	0	0	0	0	0	1	0	0	0
WDR5CP	0	0	0	0	0	0	0	1	0
ENSG00000224097	0	0	0	0	0	0	0	0	0
UGDH	3021	2843	2695	6038	2201	4283	6048	5264	4616
UGDH-AS1	112	97	162	119	79	229	152	85	168
ENSG00000287262	2	1	1	4	9	3	6	6	3
SMIM14	919	832	1128	3224	1170	2786	2601	2145	1502
ENSG00000286349	0	0	0	1	0	0	0	0	1
RNU7-11P	0	0	0	0	0	0	0	0	0
SMIM14-DT	16	7	17	29	13	46	59	32	9
UBE2K	7230	7021	7064	12284	4960	10216	13336	9813	10396
ENSG00000249019	0	0	0	0	0	0	0	0	0
RN7SL558P	0	0	2	0	0	2	0	0	0
ZBTB12BP	0	0	0	9	0	0	3	2	0
PDS5A	4942	4316	5464	8139	3092	7384	9500	7561	8212
ELOCP33	0	0	0	0	0	0	0	0	0
RNA5SP159	0	0	0	0	0	0	0	0	0
ENSG00000250568	0	1	5	41	4	11	21	10	4
PABPC1P1	1	0	0	13	0	0	20	10	0
KRT18P25	0	0	0	4	0	0	1	0	0
ENSG00000293349	1	1	0	0	1	2	0	0	2
ENSG00000205794	0	0	0	0	0	0	0	0	0
N4BP2	1634	1378	2227	2377	1081	3180	3102	2430	4182
RNU6-1112P	0	0	0	0	0	0	0	0	0
ENSG00000201863	0	0	0	0	0	0	0	0	0
ENSG00000248977	0	0	0	0	0	0	0	0	0
ENSG00000260296	20	10	27	20	18	63	95	27	68
ENSG00000286089	0	0	0	1	0	0	5	0	0
RHOH	386	378	348	289	600	297	1196	337	981
ENSG00000250338	0	0	0	0	0	0	0	0	0
ENSG00000301534	0	0	0	0	0	0	0	0	0
ENSG00000305886	0	0	0	0	0	0	0	0	0
LINC02265	2	0	0	1	0	0	0	0	3
CHRNA9	149	146	284	93	51	195	145	61	133
ENSG00000301661	0	0	0	1	0	0	1	0	0
RNU7-74P	0	0	0	0	0	0	0	0	0
RBM47	2665	2317	1598	8029	1977	5141	6346	6862	5033
ENSG00000250893	0	0	0	4	0	1	6	0	0
ENSG00000242197	0	0	0	0	0	0	0	0	0
MIR4802	0	0	0	0	0	0	0	0	0
ENSG00000305563	0	0	0	0	0	0	0	0	0
ENSG00000305129	0	0	0	0	0	1	0	0	0
ENSG00000305147	1	0	3	3	1	5	0	0	3
ENSG00000287182	0	6	6	3	0	2	0	0	0
NSUN7	674	513	1200	811	449	1068	1079	666	628
ARL4AP2	8	12	30	12	2	13	26	22	7
APBB2	2398	2060	2657	3186	2090	4119	6670	3703	3587
ENSG00000250906	0	2	1	3	0	8	1	0	1
RNA5SP160	0	0	0	0	0	0	0	0	0
RNU6-836P	0	0	0	0	0	0	0	0	0
RNU6-1195P	0	0	0	0	0	0	0	0	0
ENSG00000289761	0	0	0	0	0	0	0	0	0
UCHL1-DT	5	3	9	3	3	13	7	2	2
UCHL1	15554	15350	8996	28943	13917	21603	39832	29905	24158
LIMCH1	64	67	1007	147	58	135	140	96	27
RPL12P20	0	0	0	0	0	0	0	0	0
ENSG00000300437	0	0	0	0	0	0	0	0	0
ENSG00000287762	0	0	1	0	0	0	0	0	0
ENSG00000249216	0	0	0	0	0	0	0	0	0
OR5M14P	0	0	0	0	0	0	0	0	0
PHOX2B	0	0	0	2	40	1	77	14	12
PHOX2B-AS1	0	0	0	0	5	0	10	0	0
ENSG00000306586	0	0	0	0	0	0	0	0	0
RNU1-49P	0	0	0	0	0	0	0	0	0
HMGB1P28	0	0	0	0	0	0	0	0	0
ENSG00000293650	0	0	0	0	0	0	0	0	0
LINC00682	0	0	0	0	1	0	2	0	0
ENSG00000249771	1	1	0	0	0	0	0	0	2
ENSG00000249887	0	0	0	0	0	0	0	0	0
TMEM33	2409	2205	1918	5004	1718	3351	5067	4273	3123
DCAF4L1	9	1	3	7	3	3	9	1	5
ENSG00000272862	0	0	4	2	0	2	2	0	5
SLC30A9	4388	4367	4344	8414	3427	6876	8805	6796	6702
ATP1B1P1	4	4	8	4	1	5	2	1	3
BEND4	1643	1302	2644	2698	1181	3545	3112	2321	2699
ENSG00000285454	4	7	7	13	2	7	11	6	9
ENSG00000302322	0	0	0	0	0	0	0	0	0
ENSG00000250781	0	1	14	2	1	2	1	1	3
ENSG00000289643	100	89	2201	516	25	265	70	261	88
ENSG00000299873	0	0	0	1	0	2	0	2	0
SHISA3	189	165	766	2037	923	1614	2007	1105	1302
ATP8A1	787	693	1039	881	899	1755	2438	1032	2444
RPS7P7	0	0	0	0	0	0	0	0	0
CCNL2P1	0	0	0	2	1	3	2	0	0
ATP8A1-DT	2	0	0	1	0	0	0	0	0
ENSG00000251517	0	0	0	0	0	0	0	0	0
RN7SKP82	0	0	0	0	0	0	0	0	0
GRXCR1	0	0	0	1	0	0	0	0	1
ENSG00000248939	0	0	0	0	0	0	0	0	0
ENSG00000250657	0	0	0	0	0	0	0	0	0
ENSG00000277096	0	0	0	0	0	0	0	0	0
ENSG00000213851	0	0	0	2	0	0	2	1	0
LINC02383	0	0	0	0	0	0	0	0	0
ENSG00000251501	0	0	0	0	0	0	0	0	0
RN7SL691P	0	0	0	0	0	0	0	0	0
ENSG00000286891	0	0	0	0	0	0	0	0	0
RN7SL193P	0	0	0	0	0	0	0	0	0
NDUFB4P12	6	9	22	78	13	18	126	108	27
ENSG00000250863	1	1	2	1	1	0	0	4	2
ENSG00000301637	0	0	0	0	0	0	0	0	0
ENSG00000301654	0	0	0	0	0	0	0	0	0
LINC02475	0	0	0	0	0	0	0	1	0
KCTD8	89	95	84	142	174	180	432	253	359
ENSG00000298812	0	0	0	0	0	0	0	0	0
ENSG00000251159	0	0	0	0	0	0	0	0	0
YIPF7	1	1	1	0	0	0	0	0	2
GUF1	2335	2083	2598	3680	1507	3553	4881	3838	2872
GNPDA2	220	213	222	402	332	413	1067	591	577
ENSG00000273369	0	1	0	0	0	1	8	3	3
ENSG00000272936	12	8	13	11	10	20	60	38	16
ENSG00000295039	1	1	0	2	0	0	5	1	7
ENSG00000295061	0	0	0	0	0	0	0	0	0
ENSG00000249729	0	0	0	0	0	0	0	0	0
PRDX4P1	0	0	0	0	0	0	0	0	0
ENSG00000275959	0	0	0	0	0	0	0	0	0
ENSG00000248744	0	0	0	0	0	0	1	0	0
THAP12P9	0	0	0	0	0	0	0	0	0
ENSG00000224560	0	0	0	0	0	0	0	0	0
RNU6-931P	0	0	0	0	0	0	0	0	0
ENSG00000307074	0	0	0	0	0	0	0	0	0
ENSG00000303444	0	0	0	0	0	0	0	0	0
RN7SKP199	0	0	0	0	0	0	0	0	0
GABRG1	23	29	32	27	9	75	24	21	13
ENSG00000260878	0	0	0	0	0	0	0	0	0
GABRA2	118	105	80	60	164	321	382	127	123
ENSG00000249330	0	0	1	0	0	1	0	0	1
RNU6-412P	0	0	0	0	0	0	0	0	0
RAC1P2	2562	2454	2130	4859	1984	3814	6979	3604	3440
COX7B2	0	0	0	1	0	6	0	2	1
ENSG00000299086	0	0	0	0	0	0	0	0	0
GABRA4	9	11	15	8	8	10	15	7	19
GABRB1	2	4	0	3	1	4	1	0	1
ENSG00000301858	0	0	2	0	0	0	0	0	0
ENSG00000260918	0	2	0	0	1	0	1	1	0
COMMD8	158	145	308	260	169	378	348	242	375
ENSG00000282904	0	0	3	0	0	2	2	1	2
ENSG00000286294	0	0	0	0	0	1	0	0	0
ATP10D	172	138	186	281	126	276	361	273	370
RPL21P52	0	0	0	0	0	0	0	0	0
ENSG00000248254	0	0	0	0	0	0	0	0	0
CORIN	2	2	6	4	1	3	10	2	4
MIR8053	0	0	0	0	0	0	0	0	0
ENSG00000303368	4	2	2	51	4	3	39	33	4
RPL15P7	0	0	0	0	0	0	0	0	0
ENSG00000282917	0	0	1	0	0	0	0	0	0
ENSG00000259959	179	129	308	246	84	253	388	342	210
NFXL1	881	784	1560	1617	570	1879	1633	1190	1518
NIPAL1	234	209	323	235	51	255	118	140	128
CNGA1	21	17	61	11	7	40	17	15	7
TXK	2	2	2	10	5	3	12	8	12
RNU6-838P	0	0	0	0	0	0	0	0	0
TEC	86	77	77	176	70	194	178	145	104
ENSG00000296311	0	0	0	0	0	0	0	0	0
ENSG00000296328	0	0	0	0	0	0	0	0	0
ENSG00000296294	15	13	26	14	18	30	43	12	12
SLAIN2	1226	1177	1485	1897	1088	2098	3901	2921	2258
SLC10A4	98	57	57	323	158	124	294	226	207
ZAR1	2	4	7	17	5	5	6	7	5
FRYL	901	653	1410	1171	746	2090	2453	1267	2035
RNU5E-3P	0	0	0	0	0	0	0	0	0
ENSG00000303239	0	0	0	0	0	0	0	0	0
OCIAD1	3916	4016	4734	6891	3397	6838	8329	5736	7180
OCIAD1-AS1	0	0	0	0	0	0	0	0	0
OCIAD2	1098	1042	1678	1576	913	2003	2358	1402	2143
RNU6-158P	0	0	0	0	0	0	0	0	0
ENSG00000251334	0	0	0	0	0	0	0	0	0
ENSG00000308393	0	0	1	0	0	0	0	0	0
CWH43	0	0	0	1	0	2	2	0	0
TPI1P4	0	0	0	1	0	0	0	0	0
ENSG00000309878	0	0	0	0	0	1	0	0	0
ENSG00000249828	0	0	0	0	0	0	0	0	0
ENSG00000249079	0	0	0	0	0	0	0	0	0
ENSG00000280043	0	0	0	0	0	0	0	0	0
SNX18P23	0	0	0	0	0	0	0	0	0
ENSG00000237961	0	0	0	0	0	3	0	0	0
MTCO3P39	0	0	0	0	0	0	0	0	0
MTND3P22	0	0	0	0	0	0	0	1	0
ENSG00000248583	0	0	0	0	0	0	0	0	0
ENSG00000309101	0	0	0	1	0	0	0	0	0
ANKRD20A17P	0	0	0	0	0	0	0	0	0
ENSG00000294922	0	0	0	0	0	0	0	0	0
ENSG00000250769	0	0	0	0	0	0	0	0	0
ENSG00000294903	0	0	0	0	0	0	0	0	2
ENSG00000248532	0	0	0	0	0	0	0	0	0
ENSG00000269848	0	0	0	0	0	0	0	0	0
ENSG00000268967	0	0	0	0	0	0	0	0	0
MTCO3P42	0	0	0	0	0	0	0	0	0
ENSG00000232471	0	0	0	0	0	0	0	0	0
ENSG00000251630	0	0	0	0	0	0	0	0	0
SNX18P24	0	0	0	0	0	0	0	0	0
ENSG00000250753	0	0	0	0	0	0	0	0	0
SNX18P25	0	0	0	0	0	0	0	0	0
ENSG00000304864	0	0	0	0	0	0	0	0	0
ENSG00000306928	0	0	0	0	0	0	0	0	0
DCUN1D4	1489	1531	1764	2925	1556	3153	4475	3126	3592
DUTP7	0	0	0	0	0	0	0	0	0
ENSG00000272576	0	0	2	2	0	6	6	3	4
ENSG00000243929	0	0	0	0	0	0	0	0	0
LRRC66	6	2	10	9	7	17	29	11	17
SGCB	1226	1214	2024	2620	1620	2877	4445	2651	2609
LINC02480	0	0	0	0	0	0	0	0	0
SPATA18	47	41	148	383	77	300	212	204	258
ENSG00000306485	0	0	0	0	0	0	0	0	0
ENSG00000287999	0	0	0	0	0	0	1	0	0
ENSG00000251286	0	0	0	0	0	0	1	0	0
