""	WT_1	WT_2	WT_3	Y2_1	Y2_2	Y2_3	YT_1	YT_2	YT_3
MBNL1	297	304	359	730	896	939	1540	477	1221
MBNL1-AS1	8	5	4	18	23	4	30	7	48
TMEM14EP	0	0	0	0	0	0	0	0	0
ENSG00000243305	1	0	0	0	0	0	0	0	0
ENSG00000301352	0	0	0	0	0	0	0	0	0
ENSG00000293934	0	0	0	0	0	0	0	0	0
ENSG00000293973	0	1	0	1	4	2	1	0	0
ENSG00000287706	0	0	0	1	0	0	0	0	0
ATP5MGP5	0	0	0	0	0	0	0	0	0
P2RY1	1443	1403	450	678	520	1347	904	448	1094
ENSG00000304892	3	5	0	1	6	1	2	0	1
HMGN2P13	0	0	0	0	0	0	0	0	0
KIAA1328P1	0	1	5	5	1	1	3	2	3
ENSG00000288787	4	1	7	15	3	5	8	3	8
ENSG00000298712	0	0	0	0	0	0	0	0	0
ENSG00000289885	6	4	3	7	1	5	7	2	1
RAP2B	1635	1546	1465	3499	2483	2284	3627	1505	2268
RN7SL300P	0	0	0	0	0	0	0	0	0
ENSG00000290079	0	0	0	0	0	0	0	0	0
ENSG00000298731	0	0	0	0	0	0	0	0	0
LINC03109	0	0	0	0	0	0	0	0	0
LINC02006	0	0	0	0	1	0	0	0	0
LINC02877	0	1	0	0	0	0	1	0	0
RNU6-901P	0	0	0	0	0	0	0	0	0
ENSG00000298648	0	0	0	0	0	0	0	0	0
ENSG00000243486	0	0	0	0	0	0	0	0	0
RPL21P42	0	0	0	0	0	0	0	0	0
ARHGEF26-AS1	7	5	10	7	31	12	51	16	12
ARHGEF26	557	520	669	786	730	929	1285	419	1283
DHX36	3601	3358	4774	5701	5411	6485	7243	2689	8391
ENSG00000271922	0	0	0	0	0	0	0	0	0
ENSG00000279305	0	0	0	0	0	0	0	0	0
GPR149	0	0	0	1	1	0	3	0	4
DDX50P2	2	4	1	17	5	1	15	3	6
ENSG00000306945	0	0	0	0	0	0	2	0	0
ENSG00000243861	0	0	0	0	0	0	0	0	0
ENSG00000301875	0	0	0	0	0	0	0	0	0
SYPL1P1	0	0	0	0	0	0	0	0	0
DYNLL1P5	0	0	0	0	0	0	0	0	0
RPL9P15	0	0	0	0	0	0	0	0	0
ENSG00000304437	0	0	0	0	0	0	0	0	0
ENSG00000243969	0	0	0	0	0	0	0	1	0
ENSG00000243953	0	0	0	0	0	0	0	0	0
ENSG00000304455	0	0	0	0	0	0	0	0	0
MME	720	599	387	203	630	887	1822	670	1251
MME-AS1	0	0	0	0	0	1	0	1	1
ENSG00000296269	17	14	0	7	23	27	117	34	73
LINC01487	0	0	0	0	0	0	0	0	0
STRIT1	0	0	0	0	3	0	0	1	0
ENSG00000242790	0	0	0	0	0	0	0	0	0
PABPC1P10	0	1	0	1	0	0	0	0	1
PLCH1	1097	947	1762	1334	1607	1879	3335	1165	3435
ENSG00000248772	0	0	0	0	0	0	0	0	0
DTWD1P2	2	0	1	0	1	1	2	1	0
ENSG00000242152	0	0	0	0	0	0	0	0	0
RN7SL715P	0	0	0	0	0	0	0	0	0
PLCH1-AS1	0	0	0	0	0	0	0	0	0
PLCH1-AS2	0	0	0	0	0	0	0	0	0
RPL6P7	0	0	0	0	0	0	0	0	0
ENSG00000214919	2	1	1	0	0	3	6	5	1
RPL7AP24	0	0	0	0	0	0	0	0	0
C3orf33	41	28	27	43	34	57	90	47	40
ENSG00000284952	0	0	0	0	0	0	0	0	0
SLC33A1	331	349	311	564	684	551	707	204	407
ENSG00000286585	6	7	11	11	27	12	21	7	4
GMPS	8353	7951	7058	9898	12039	10723	19297	6096	12346
ENSG00000288032	1	0	0	0	0	0	0	0	0
SETP14	1755	1820	1638	2885	2321	2704	2965	1060	2594
VN2R1P	0	0	0	0	0	0	0	0	0
KCNAB1	17	22	57	52	41	40	51	23	109
ENSG00000298886	0	0	0	0	4	0	1	0	1
ALG1L15P	4	5	16	24	9	17	14	9	12
MRE11P1	0	0	0	3	3	0	3	0	0
ENSG00000287916	0	0	0	0	0	0	0	0	0
SNRNP40P1	0	1	1	6	1	1	7	0	0
KCNAB1-AS2	0	0	0	0	0	0	0	0	0
KCNAB1-AS1	0	0	0	0	0	0	0	0	0
ENSG00000272990	11	2	3	6	7	7	21	10	4
SSR3	5095	5268	4160	8224	7075	6249	8462	3459	6102
TIPARP-AS1	27	34	49	62	52	59	129	44	47
TIPARP	205	229	370	427	461	590	972	362	570
METTL15P1	0	0	0	0	0	0	0	0	0
ENSG00000294200	0	0	0	0	1	0	0	0	0
PA2G4P4	478	434	326	777	552	445	757	266	434
ENSG00000303878	0	0	1	1	0	1	1	0	0
LEKR1	4	6	13	1	3	9	8	3	11
KLF3P2	0	0	0	0	0	0	0	0	0
CRADDP1	0	0	0	0	0	0	0	0	0
RN7SKP177	0	0	0	0	0	0	0	0	0
LINC00880	1	2	2	0	0	6	3	0	8
LINC02029	1	0	0	0	0	0	0	0	0
ENSG00000289409	0	0	0	0	2	1	0	0	0
ENSG00000301911	0	0	0	0	0	0	0	0	0
LINC00881	71	76	111	125	57	112	183	68	161
ENSG00000301894	0	0	0	0	0	0	0	0	0
CCNL1	949	835	1608	1792	1807	2407	2615	848	2741
ENSG00000301840	0	0	0	0	0	0	0	0	0
KRT18P34	0	0	0	0	0	0	0	0	0
RNA5SP146	0	0	0	0	0	0	0	0	0
PCBP2P4	0	0	0	0	0	0	0	0	0
ENSG00000286361	0	0	0	0	0	0	0	0	0
VEPH1	150	106	284	30	55	37	89	26	18
PTX3	83	73	124	38	277	325	1088	446	469
SLC66A1LP	17	19	22	28	19	9	35	14	13
ENSG00000286892	0	0	0	0	0	2	0	0	0
ENSG00000242536	2	2	1	4	2	2	0	0	0
RN7SKP46	0	0	0	0	0	0	0	0	0
ENSG00000239716	0	0	0	0	0	0	0	0	0
SHOX2	3	2	2	1	3	3	4	1	3
RSRC1	675	607	848	991	1187	1119	1439	517	1203
RPL15P6	0	0	0	0	0	0	1	0	0
LILRA2P1	0	0	0	0	0	0	0	0	0
RPS12P7	0	0	0	0	0	0	0	0	0
MLF1-DT	1	0	1	1	0	0	0	0	0
MLF1	936	924	1073	771	907	1368	2252	942	1353
MTAPP1	0	0	0	0	0	0	0	0	0
RFKP6	0	0	0	0	0	0	0	0	0
GFM1	2081	2084	2193	3973	2975	3313	3377	1371	3872
LXN	153	129	189	317	338	332	485	172	312
ENSG00000272087	0	0	0	0	0	0	0	0	1
RARRES1	1	0	17	3	5	17	7	4	35
MFSD1	266	275	269	883	543	458	437	227	565
ENSG00000240207	13	5	34	10	17	33	44	20	28
RPL35AP9	0	0	0	0	0	0	0	0	0
ENSG00000297409	0	0	0	0	0	0	0	0	0
ENSG00000271778	0	1	1	0	2	2	1	0	0
ENSG00000272247	1	0	0	1	0	3	1	0	1
GPR79	0	0	0	0	0	0	0	0	0
ENSG00000279311	1	1	0	1	0	1	2	1	0
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0
IQCJ	0	0	1	0	0	0	2	0	0
SCHIP1	38	46	50	35	19	66	87	66	118
MIR3919	0	0	0	0	0	0	0	0	0
RPS2P19	0	0	0	0	0	0	0	0	0
ENSG00000286913	0	0	2	0	1	1	0	0	0
C9orf78P1	0	0	0	1	0	0	0	0	0
IQCJ-SCHIP1-AS1	0	0	0	0	3	0	0	0	0
RNU2-31P	0	0	0	0	0	0	0	0	0
IL12A-AS1	3	2	3	4	2	9	4	1	5
IL12A	10	5	8	21	20	16	14	13	9
LINC01100	0	0	0	0	0	0	0	0	0
BRD7P2	773	774	883	1278	1736	1352	2568	639	1392
C3orf80	14	19	31	26	23	68	40	27	24
TRIM59-IFT80	0	0	0	0	0	0	0	1	0
IFT80	539	424	648	599	931	907	1629	471	831
RPL35AP10	0	0	0	0	0	0	0	0	0
SMC4	4852	4089	5698	7567	9195	10191	14853	4386	13476
MIR15B	0	0	0	0	0	0	0	0	0
MIR16-2	0	0	1	0	0	0	0	0	0
TRIM59	1171	1171	1791	2308	1813	1805	3017	1201	2215
B3GAT3P1	11	16	18	37	15	34	36	18	7
RNU7-136P	0	0	0	0	0	0	0	0	0
KPNA4	3871	3631	4493	6740	6271	5802	8225	2702	6518
SCARNA7	0	0	1	1	1	0	0	0	2
ENSG00000293192	49	44	79	61	42	110	97	37	105
KRT8P12	0	0	0	0	0	0	0	0	0
RPL6P8	0	0	0	0	0	0	0	0	0
ARL14	0	0	1	0	0	0	0	0	0
PPM1L-DT	0	4	2	3	13	5	9	0	3
PPM1L	575	510	759	741	1003	1204	1966	556	1275
B3GALNT1	242	242	450	175	166	202	349	155	336
NMD3	1918	1865	2405	3193	2592	3391	3220	1394	3084
SRP14P5	0	0	0	0	0	0	0	0	0
ENSG00000299620	0	0	0	0	0	0	0	0	0
EEF1GP4	0	0	0	0	0	0	0	0	0
PSMC1P7	0	0	0	0	1	0	1	0	0
SPTSSB	292	268	181	130	119	253	293	102	146
LINC02067	2	9	3	44	4	6	32	13	4
RPL23AP42	14585	12906	14258	27855	18402	24866	29707	12524	22887
OTOL1	0	0	0	0	0	0	0	0	0
ENSG00000301110	0	0	0	0	0	0	0	0	0
ENSG00000288087	0	0	0	0	0	0	0	0	0
ENSG00000240354	0	0	0	0	0	0	0	0	0
ENSG00000308629	0	0	0	0	0	0	0	0	0
ENSG00000295235	0	0	0	0	0	0	0	0	0
TOMM22P6	0	0	0	0	0	0	0	0	0
ENSG00000243044	0	0	0	0	0	0	0	0	0
ENSG00000303757	0	0	0	0	0	0	0	0	0
ENSG00000241168	18	17	22	4	14	4	0	0	2
LINC01192	0	0	0	0	0	2	0	0	0
RPS6P4	0	0	0	0	0	0	0	0	0
ENSG00000240792	0	0	0	0	0	0	0	0	0
RNU7-82P	0	0	0	0	0	0	0	0	0
ENSG00000297658	0	0	0	0	0	0	0	0	0
ENSG00000307748	6	11	1	5	0	0	1	0	3
NGRNP1	0	0	0	0	0	0	0	0	0
ENSG00000306828	0	0	0	1	0	0	0	0	0
MIR1263	0	0	0	0	0	0	0	0	0
ENSG00000308851	0	0	0	0	0	0	0	0	0
ENSG00000289884	0	0	0	0	0	3	0	0	0
LINC01324	0	0	0	0	0	0	0	0	0
SI	0	0	0	0	0	0	0	0	0
ENSG00000307135	0	0	0	0	0	0	0	0	0
LINC02023	0	0	0	0	0	0	0	0	0
SLITRK3	110	80	119	215	670	579	1786	540	1132
LINC01322	0	0	0	0	0	1	2	0	0
ENSG00000301244	0	0	0	0	0	0	0	0	0
BCHE	123	159	130	280	989	979	2656	871	1216
MTND4P17	0	0	0	0	0	0	0	0	0
MTND4LP10	0	0	0	0	0	0	0	0	0
MTND3P7	0	0	0	0	0	0	0	0	0
MTCO3P38	0	0	0	0	0	0	0	0	0
MCUR1P2	0	0	0	0	0	0	0	0	0
ENSG00000301714	0	0	0	0	0	0	0	0	0
SSBL6P	0	0	0	0	0	0	0	0	0
LINC01326	0	0	0	0	0	0	0	0	0
ENSG00000274149	0	0	0	0	0	0	0	0	0
RN7SKP298	0	0	0	0	0	0	0	0	0
PSAT1P4	0	0	0	7	1	1	8	1	0
ENSG00000240458	0	0	0	0	0	0	0	0	0
CBX1P5	0	0	0	0	0	0	0	0	0
ENSG00000240033	0	0	0	0	0	0	0	0	0
ENSG00000239227	0	0	0	3	5	0	5	0	0
ENSG00000307620	0	0	0	0	0	0	0	0	0
PPIAP74	0	0	0	0	0	0	0	0	0
ZBBX	18	19	51	21	42	83	108	31	70
ENSG00000294774	0	0	0	0	0	0	0	0	0
LINC01327	0	0	0	0	0	0	0	0	0
SERPINI2	0	0	0	1	3	1	0	1	3
WDR49	6	13	9	0	10	11	26	3	20
ENSG00000295693	1	0	0	0	0	0	0	0	0
PDCD10	2579	2471	1347	3870	4608	2859	5397	1885	2866
HMGN1P8	0	0	2	2	0	2	2	0	5
SERPINI1	200	210	205	278	267	496	386	163	231
ENSG00000287319	0	0	0	0	0	0	0	0	0
ENSG00000296043	0	0	0	0	0	0	0	0	0
LRRC77P	0	0	0	0	0	0	0	0	0
ENSG00000244706	0	0	0	0	0	0	0	0	0
MEMO1P3	0	0	0	1	0	0	1	0	0
CYCSP56	0	0	0	0	0	0	0	0	0
HMGN2P26	0	0	0	0	0	0	0	0	0
GOLIM4	1415	1168	1632	2732	2784	2984	3424	992	3103
ENSG00000286994	0	0	0	0	0	0	0	0	0
ENSG00000295183	0	0	0	0	0	0	0	0	0
ENSG00000305272	1	0	1	2	0	1	0	0	0
ENSG00000293389	15	10	19	33	70	70	92	30	86
EGFEM1P	0	0	1	0	0	9	2	1	12
ENSG00000241882	0	0	0	0	0	0	0	0	0
ENSG00000300352	0	0	0	0	0	0	0	0	0
RNU2-20P	0	0	0	0	0	0	0	0	0
ENSG00000309550	0	0	0	0	0	0	0	0	0
MIR551B	0	0	0	0	0	0	0	0	0
ENSG00000308269	0	0	0	1	0	0	0	0	1
RPSAP33	0	0	0	3	0	2	0	0	0
RPL21P43	0	0	0	0	0	0	0	0	0
LINC02082	0	1	1	3	2	7	27	11	8
ENSG00000272797	0	0	0	0	0	0	11	1	1
ENSG00000273177	0	0	0	0	0	0	2	1	0
ENSG00000303122	0	0	0	0	0	0	0	0	0
LINC01997	0	0	0	0	0	0	0	0	0
ENSG00000303137	0	0	0	0	0	0	0	0	0
MECOM	36	45	8	773	460	53	32	27	4
ENSG00000305212	0	0	1	1	2	0	0	0	0
ENSG00000308953	0	0	0	0	0	0	0	0	0
MECOM-AS1	0	0	0	0	0	0	0	0	0
ENSG00000302206	271	175	90	175	459	131	443	91	102
RPL22P1	2	4	2	1	2	0	1	1	1
ENSG00000242795	0	0	0	1	1	0	0	0	0
ENSG00000302253	1	1	0	11	6	0	0	0	0
ENSG00000302232	0	2	0	1	1	0	0	0	0
ENSG00000302271	0	1	0	2	0	0	0	0	0
ENSG00000309070	0	0	0	0	0	0	0	0	0
SDHDP3	4	0	0	4	1	2	2	3	0
RNU6-637P	0	0	0	0	0	0	0	0	0
ENSG00000296372	0	0	0	0	0	0	0	0	0
TERC	3	4	6	7	2	5	1	2	10
ACTRT3	103	99	88	240	126	79	95	33	162
ENSG00000269889	6	4	6	2	7	6	8	2	2
ENSG00000300864	3	7	6	5	2	6	10	10	6
ENSG00000300883	5	8	29	21	4	26	4	4	27
MYNN	676	669	757	1569	1502	1351	1321	532	1147
ENSG00000269984	2	0	1	1	6	1	8	3	3
LRRC34	125	135	127	386	235	165	232	91	173
ENSG00000270135	6	2	3	4	6	4	10	0	4
ENSG00000270096	11	4	5	8	22	20	28	7	12
LRRIQ4	5	2	0	5	3	0	2	1	1
LRRC31	0	1	0	0	1	0	0	0	0
KRT18P43	0	0	0	0	0	0	0	0	0
SAMD7	0	0	0	0	0	0	0	0	0
FAM20BP1	0	0	0	0	0	0	0	0	0
FHL1P1	5	8	7	9	19	21	15	7	9
ENSG00000244193	0	0	0	0	0	0	0	0	0
SEC62	2541	2510	3280	5193	5216	4139	6464	2041	4833
SEC62-AS1	0	0	0	0	0	0	0	0	0
GPR160	1328	1335	649	2249	2587	1520	1754	628	602
RNU4-38P	0	0	0	0	0	0	0	0	0
KMT5AP3	0	0	0	0	0	0	0	0	0
PHC3	370	305	733	620	777	1020	974	321	992
RNU6-315P	0	0	0	0	0	0	0	0	0
PRKCI	5954	5609	4971	8792	10787	9356	13341	4411	8236
ENSG00000239628	0	1	0	1	0	0	0	0	0
ENSG00000295042	0	0	0	1	0	0	0	0	0
SKIL	3897	3526	2378	12816	10050	11427	8788	3174	9400
ENSG00000242578	0	0	1	0	3	0	2	0	3
CLDN11	502	435	134	731	2740	2103	9719	2734	1581
ENSG00000285218	0	0	0	0	0	0	0	0	0
MIR6828	0	0	0	0	0	0	0	0	0
SLC7A14-AS1	2	1	0	0	4	1	6	1	0
SLC7A14	59	52	30	16	18	58	162	66	75
KRT8P13	0	0	0	0	0	0	0	0	0
RPL28P1	0	0	0	0	0	0	0	0	0
ENSG00000244738	0	0	0	0	0	1	0	0	0
ENSG00000286695	0	0	0	0	0	0	0	0	0
ENSG00000289233	0	0	0	0	0	0	0	0	0
ENSG00000239739	0	0	0	0	0	0	0	0	0
ENSG00000301939	0	3	0	3	0	0	2	0	0
RPL22L1	2248	2010	1527	2266	2925	1953	1220	413	1272
EIF5A2	196	194	186	185	210	282	470	146	265
ENSG00000286856	5	0	5	3	4	2	13	3	2
KLF7P1	0	0	0	0	0	0	0	0	0
RNU1-70P	0	0	0	0	0	0	0	0	0
SLC2A2	0	0	0	0	0	1	0	0	0
TNIK	2455	2077	1259	3155	3115	4734	6019	2131	7028
MIR569	0	0	0	0	0	1	0	0	0
ENSG00000240497	123	101	32	147	135	144	241	103	130
RNU6-348P	0	0	0	0	0	0	0	0	0
MTCO1P58	0	0	0	0	0	0	0	0	0
PLD1	131	121	133	128	165	288	305	121	80
ENSG00000297746	0	0	0	0	0	0	0	0	0
TMEM212-AS1	0	0	0	0	0	0	0	0	0
TMEM212	0	0	0	0	0	0	0	1	0
TMEM212-IT1	0	0	0	0	0	0	0	0	0
ENSG00000287899	0	0	0	0	0	0	0	0	0
ENSG00000307879	0	0	0	0	0	0	0	0	0
FNDC3B	1314	1151	1639	2425	2381	2677	3721	1143	2363
RPS27AP8	0	0	0	0	0	0	0	0	0
RN7SL141P	0	0	1	0	0	0	0	0	0
ENSG00000279862	0	0	0	0	0	0	0	0	0
BZW1P1	1	7	1	81	23	2	45	3	4
GHSR	0	0	0	0	0	0	0	0	1
TNFSF10	9	9	2	6	15	20	31	8	24
TBPL1P1	1	0	0	2	0	0	2	0	0
LINC02068	0	0	0	0	0	0	0	0	0
ENSG00000296986	0	0	0	0	0	0	2	1	0
SLC31A1P1	0	0	1	10	0	0	4	1	0
NCEH1	229	176	239	494	421	527	430	161	278
ENSG00000299961	0	0	0	0	0	0	0	0	0
NAP1L5P1	0	0	0	0	0	0	0	0	0
RNU6-547P	0	0	0	0	0	0	0	0	0
ENSG00000287012	0	0	0	0	0	0	0	0	0
ECT2	4714	4554	5046	6538	6514	6879	9871	3750	8721
RNU4-4P	0	0	0	0	0	0	0	0	0
ATP5MC1P4	0	0	0	2	0	0	2	0	0
MMACHCP1	0	0	0	0	0	0	0	0	0
ENSG00000300898	0	0	0	0	0	0	0	1	1
ENSG00000305134	1	0	2	0	0	0	0	0	0
SPATA16	17	9	0	3	0	0	0	0	0
ENSG00000237473	1	0	1	0	2	1	0	0	2
ENSG00000304469	0	0	0	0	0	3	0	1	0
NLGN1	439	338	329	625	1105	1145	2663	793	1488
ENSG00000300105	1	1	0	4	6	0	14	4	1
TMEM229BP1	0	0	0	0	0	1	0	0	0
ENSG00000289417	0	0	0	0	0	0	1	0	1
NLGN1-AS1	0	0	0	0	0	0	0	0	0
RN7SKP234	0	0	1	0	0	0	0	0	0
ENSG00000302290	48	48	14	62	41	60	11	9	5
ANAPC15P2	0	0	0	0	0	0	0	0	0
RPL8P4	1	0	0	31	6	1	18	0	0
ENSG00000310214	0	0	0	0	0	0	0	0	0
NAALADL2	11	9	38	32	45	41	78	42	29
RN7SKP40	0	0	0	0	0	0	0	0	0
EEF1B2P8	0	0	0	0	0	0	0	0	0
NAALADL2-AS3	0	0	0	0	0	0	0	0	0
NAALADL2-AS2	0	0	0	0	0	0	0	0	0
MIR4789	0	0	0	0	0	0	0	0	0
RNU6-1233P	0	0	0	0	0	0	0	0	0
ENSG00000304074	0	0	0	0	0	0	0	0	0
ENSG00000288104	0	0	0	0	0	0	0	0	0
ENSG00000296289	0	0	0	0	0	0	0	0	0
RNU4-91P	0	0	0	0	0	0	0	0	0
DDX5P1	0	0	0	0	0	0	0	0	0
UBE2V1P2	82	103	183	312	186	177	428	90	220
RNU6-1317P	0	0	0	0	0	0	0	0	0
NAALADL2-AS1	0	0	0	0	0	0	0	0	0
ENSG00000305925	0	0	0	1	0	0	0	0	0
ENSG00000260217	0	0	0	0	0	0	0	0	0
ACTG1P23	0	0	0	1	0	0	0	0	0
EI24P1	0	0	0	6	3	0	5	0	0
EI24P6	0	0	0	0	0	0	0	0	0
TMEM38BP1	0	0	0	0	0	0	0	0	0
ENSG00000297363	0	0	0	0	0	0	0	0	0
ENSG00000305709	1	0	0	2	10	1	31	9	8
ENSG00000304488	0	0	0	0	0	0	0	0	0
ENSG00000288895	1555	1288	1039	2612	3718	2668	3794	986	1304
ENSG00000304430	24	30	12	25	39	42	25	13	30
ENSG00000304472	0	0	0	0	0	0	0	0	0
LINC01208	0	0	3	6	4	4	2	1	3
ENSG00000302303	3	2	2	0	4	3	7	2	14
MIR7977	0	0	0	0	0	0	0	0	0
ENSG00000303447	0	0	0	0	0	0	0	0	0
RNA5SP147	0	0	0	0	0	0	0	0	0
LINC01209	0	0	0	0	0	0	0	0	0
ENSG00000304906	0	0	1	2	4	0	1	0	0
ENSG00000310079	0	0	0	0	0	0	0	0	0
MTND5P15	0	0	0	0	0	2	0	0	0
TBL1XR1	2393	2209	3239	4865	3929	4303	4861	1676	3779
TBL1XR1-AS1	0	0	0	0	0	1	0	0	0
RNU6-681P	0	0	0	0	0	0	0	0	0
ENSG00000308496	0	0	0	0	0	0	0	0	0
LINC00501	0	1	0	0	0	1	0	0	1
ASS1P7	11	16	140	417	112	160	173	22	18
ENSG00000298356	0	0	0	0	0	0	0	0	0
ENSG00000226782	0	0	0	0	0	0	0	0	0
ENSG00000298370	0	0	0	0	0	0	0	0	0
ENSG00000298386	0	0	0	0	0	0	0	0	0
LINC00578	0	0	0	2	0	0	2	0	1
ENSG00000310495	0	0	0	0	0	0	0	0	0
ENSG00000310491	0	0	0	0	0	0	0	0	0
RN7SKP52	0	0	0	0	0	0	0	0	0
ENSG00000310505	0	0	0	0	0	0	0	0	0
ENSG00000236385	0	0	0	0	0	0	0	0	0
ENSG00000200288	0	0	0	0	0	0	0	0	0
FGFR3P4	0	0	0	0	0	0	0	0	0
ENSG00000310482	0	0	0	0	0	0	0	0	0
LINC02015	0	0	0	1	0	2	0	0	4
ENSG00000270321	0	0	0	0	0	0	0	0	0
ENSG00000301516	0	0	0	0	0	0	0	0	1
RNU6-1120P	0	0	0	0	0	0	0	0	0
ENSG00000286003	0	0	0	0	0	0	0	0	0
ENSG00000301533	0	0	0	0	0	0	0	0	0
ENSG00000295322	0	0	0	0	0	0	0	0	0
ENSG00000223930	0	1	0	0	0	0	3	0	1
KCNMB2	0	0	0	0	2	0	3	1	0
ENSG00000275163	0	0	0	0	0	0	0	0	0
LINC01014	0	0	0	0	0	0	0	0	0
RNA5SP148	0	0	0	0	0	0	0	0	0
PPIAP75	0	0	2	0	1	3	6	2	0
KCNMB2-AS1	51	73	101	227	203	285	340	117	246
ZMAT3	424	362	542	1097	1223	1495	1767	588	945
PIK3CA-DT	0	1	1	0	0	0	1	0	0
PIK3CA	474	444	704	755	850	1166	1360	468	875
ENSG00000201957	0	0	0	0	0	0	0	0	0
KCNMB3	26	14	68	18	45	38	40	21	46
LRRFIP1P1	42	37	80	57	57	46	67	20	76
ENSG00000298104	0	0	0	1	0	0	0	0	0
ZNF639	1038	1051	1130	1869	2014	1436	2208	729	1566
ENSG00000260743	8	6	2	7	1	9	3	6	4
MFN1	1378	1243	1633	2072	1634	2338	1962	794	2238
ENSG00000289574	2	0	12	2	1	25	4	3	15
GNB4	2515	2438	2871	2784	2959	3851	6942	2770	3617
ENSG00000242539	0	0	0	2	0	4	2	2	2
ENSG00000272699	0	0	0	0	0	2	0	0	0
RPL29P34	0	0	0	0	0	0	0	0	0
MTHFD2P7	3	5	5	69	21	22	52	9	1
ENSG00000295079	0	0	0	0	0	0	0	0	0
ENSG00000295099	0	1	2	0	2	1	0	0	0
ACTL6A	3400	3347	2822	5607	3876	5353	7099	3550	6161
ENSG00000272910	2	1	3	1	9	10	16	8	14
ENSG00000272660	4	1	1	3	3	6	6	2	7
MRPL47	1422	1525	1561	4265	3345	2782	3706	1317	2787
NDUFB5	860	737	888	1598	2196	1576	2197	752	1339
ENSG00000288698	1	1	1	1	1	2	10	0	5
ENSG00000239096	0	0	0	0	0	0	0	0	0
H3P13	0	0	0	0	0	0	2	0	0
USP13	785	698	1162	1536	1359	1464	1853	709	1513
PEX5L	58	52	108	112	169	462	568	135	259
PEX5L-AS1	0	0	0	0	0	0	0	0	0
PEX5L-AS2	0	0	0	0	0	0	0	0	0
ENSG00000287645	0	0	0	0	1	0	1	0	0
RNA5SP149	0	0	0	0	0	0	0	0	0
ENSG00000299725	0	0	0	0	0	0	0	0	0
ENSG00000282327	0	0	0	0	0	0	0	0	0
GAPDHP36	0	0	0	0	0	0	0	0	0
ENSG00000306873	0	0	0	0	0	0	0	0	0
ENSG00000295297	0	0	0	0	0	0	0	0	0
RALBP1P1	0	1	0	8	6	0	8	1	1
LINC02053	0	0	0	0	0	0	0	0	0
TTC14-DT	0	0	3	0	4	4	2	1	0
RNU6-486P	0	0	0	0	0	0	0	0	0
PSMG3P1	0	0	0	0	0	0	0	0	0
TTC14	448	411	794	662	833	1326	1067	407	1378
CCDC39	6	1	5	0	10	9	7	2	0
ENSG00000145075	0	0	0	0	0	0	0	0	0
CCDC39-AS1	4	7	8	8	2	12	8	2	6
ENSG00000285336	1	2	1	0	0	0	0	0	0
RN7SL229P	0	0	0	0	0	0	0	0	0
RNF13P1	3	0	0	9	5	0	11	0	0
ACTBP16	0	0	1	0	0	0	0	0	0
FLYWCH1P1	0	0	0	0	0	0	0	0	0
FXR1	8250	7981	12100	10957	9583	15168	16049	6064	13564
ENSG00000296167	0	0	0	0	0	0	0	0	0
RPL32P10	0	0	0	0	0	0	0	0	0
ENSG00000296188	0	0	0	0	0	0	0	0	0
DNAJC19	438	438	550	843	1180	708	1262	407	663
SOX2-OT	105	88	251	161	231	138	241	90	164
ENSG00000296152	0	0	0	0	0	0	0	0	0
MATR3P2	0	2	0	5	3	1	4	3	2
RNU6-4P	0	0	0	0	0	1	0	0	0
FAUP2	0	0	0	0	0	0	0	0	0
ENSG00000241231	0	0	0	0	0	0	0	0	0
ENSG00000294823	0	0	0	0	0	0	0	0	0
RPL7AP25	0	0	0	0	0	0	0	0	0
ENSG00000239381	0	0	0	1	0	0	0	0	0
ENSG00000276074	0	0	0	0	0	0	0	0	0
ENSG00000276690	0	0	0	0	0	0	0	0	0
ENSG00000289435	5	4	2	6	7	9	16	3	3
SOX2	4851	4365	14277	12406	8760	10076	17784	7207	15519
ENSG00000294981	0	0	2	12	10	5	25	2	7
ENSG00000278026	0	0	0	0	0	0	0	0	0
ENSG00000294956	1	0	0	1	0	3	1	0	2
ENSG00000294923	0	0	0	0	0	1	0	0	0
ENSG00000294860	0	0	0	0	0	0	0	0	0
RN7SL703P	0	0	0	0	0	0	0	0	0
RNA5SP150	0	0	0	0	0	0	0	0	0
PSMG3P2	0	0	0	0	0	0	0	0	0
ZCCHC10P1	0	0	0	0	0	0	0	0	0
ENSG00000302744	0	0	0	0	0	0	0	0	0
LINC01206	1	0	12	3	0	0	0	0	3
RN7SKP265	0	0	0	0	0	0	0	0	0
ENSG00000299563	0	0	0	0	0	0	0	0	0
ENSG00000286453	0	0	0	0	0	0	0	0	0
ENSG00000299716	0	0	0	0	0	0	0	0	0
ENSG00000240478	0	0	0	0	0	0	0	0	0
ENSG00000287605	0	0	0	0	0	0	0	1	0
LINC01994	7	6	11	9	16	26	45	8	23
ENSG00000299972	0	0	0	0	0	0	0	0	0
ENSG00000299950	0	0	0	0	0	0	0	0	0
ENSG00000242012	0	0	0	0	0	0	0	0	0
EIF4EP3	0	0	0	16	2	0	8	0	0
RPL7L1P8	0	1	11	22	1	15	6	0	11
LINC02031	0	0	0	0	0	0	0	0	0
ENSG00000294622	0	0	0	1	0	0	2	1	0
PLA2G10P1	0	0	0	0	0	0	0	0	0
ENSG00000302669	0	0	1	0	0	0	0	0	0
