""	WT_P62	Y2_P37_28	YT2_P37_7_17
ENSG00000298085	0	0	0
PIRAT1	1	0	1
ENSG00000298011	0	0	0
ENSG00000225402	3	0	3
ENSG00000298106	0	0	0
RMDN2	68	96	114
RMDN2-AS1	2	0	0
CYP1B1	97	248	219
CYP1B1-AS1	5	9	12
ENSG00000227292	0	0	0
RNU6-951P	0	0	0
ENSG00000273006	0	0	0
RPL7P12	0	0	0
ENSG00000295774	0	0	0
GAPDHP25	0	0	0
ATL2	2710	4276	4426
ENSG00000288994	3	2	2
LINC02613	0	0	0
LINC01883	0	0	2
ENSG00000296383	0	0	0
RPLP0P6	27784	40073	36027
ENSG00000296297	0	0	0
ENSG00000271443	0	0	0
ENSG00000296331	0	0	0
HNRNPLL	2364	4645	4003
ENSG00000235586	0	1	0
ENSG00000232518	1	5	2
GALM	487	1039	998
ENSG00000298533	0	0	0
SRSF7	14764	12437	15997
GEMIN6	496	696	868
TTC39DP	0	0	0
NPLP1	0	0	0
DHX57	1679	2375	4003
ASS1P2	3	6	4
ENSG00000302286	0	0	0
ENSG00000225284	0	0	0
MORN2	135	210	273
RNU6-851P	0	0	0
ARHGEF33	21	10	19
ENSG00000304685	0	0	0
RN7SL96P	0	0	0
ENSG00000269210	6	5	2
SOS1	1584	2645	3088
SOS1-IT1	0	0	0
RNU6-198P	0	0	0
HSPE1P13	1	2	0
CDKL4	1	7	4
MAP4K3	1692	3489	3195
ENSG00000252473	1	7	5
ENSG00000273035	0	8	0
MAP4K3-DT	197	416	178
ENSG00000289003	2	3	1
ENSG00000307616	0	0	0
ENSG00000307602	0	6	5
TMEM178A	139	358	334
THUMPD2	596	852	999
SLC8A1-AS1	0	1	4
ENSG00000235653	0	0	0
ENSG00000304509	0	0	0
SLC8A1	226	432	630
ENSG00000289013	0	0	0
ENSG00000288992	0	0	1
ENSG00000287255	0	0	0
ENSG00000285898	0	0	2
ENSG00000287468	0	0	0
ENSG00000298207	0	0	0
LINC01794	0	0	0
ENSG00000293085	0	0	0
HNRNPA1P57	0	0	0
ENSG00000301031	1	2	0
ENSG00000294105	0	0	0
ENSG00000308746	0	0	0
ENSG00000304649	0	0	0
ENSG00000304630	0	0	0
ENSG00000287145	0	0	0
ENSG00000304671	0	0	0
LDHAP3	0	1	1
ENSG00000305818	1	0	0
RPS12P4	0	0	0
LINC01913	0	0	0
RNU4-63P	0	0	0
ENSG00000299964	0	0	0
LINC01914	7	1	2
LINC02898	50	2	5
ENSG00000299946	6	3	1
ENSG00000294984	0	0	0
ENSG00000226398	8	2	5
ENSG00000301269	0	0	0
PKDCC	13358	1336	2890
ENSG00000296975	1	0	0
ENSG00000296992	0	0	0
ENSG00000308102	0	0	0
EML4-AS1	5	1	6
ENSG00000298179	0	0	0
EML4	6315	8204	10541
COX7A2L	2687	4217	3289
ENSG00000299127	3	2	2
ENSG00000221300	0	0	0
KCNG3	490	346	366
VDAC1P13	6	3	0
RPS13P3	0	0	0
MTA3	9939	9480	8718
ENSG00000215263	0	0	0
ENSG00000303185	0	0	0
ENSG00000226523	0	0	0
RNU6-137P	36	14	22
OXER1	76	46	37
HAAO	136	174	117
ENSG00000288886	70	54	53
FTOP1	2	0	1
ENSG00000307343	17	13	5
ENSG00000307331	7	8	12
CHORDC1P1	3	3	8
ENSG00000307362	0	0	0
ENSG00000307381	0	0	0
ENSG00000307398	0	0	0
LINC01819	25	5	6
ENSG00000295666	0	0	0
LINC02580	5	8	14
ENSG00000233978	0	0	0
ENSG00000307929	0	0	0
RNU6-242P	0	0	0
ENSG00000286796	0	0	0
ENSG00000307991	0	0	0
ENSG00000307950	1	0	1
ENSG00000308021	0	0	0
LINC01126	109	132	103
ZFP36L2	2913	2122	4441
ENSG00000308008	0	1	1
ENSG00000307974	0	0	0
THADA	1324	1609	2315
RNU6-958P	0	0	0
RN7SL531P	0	0	0
ENSG00000308631	0	0	0
ENSG00000310352	0	0	0
PLEKHH2	333	551	349
C1GALT1C1L	4	0	0
ENSG00000229695	0	0	0
RN7SKP66	0	0	0
DYNC2LI1	413	679	450
ABCG5	0	1	0
ABCG8	0	0	0
ENSG00000305165	0	0	0
LRPPRC	16660	25093	23951
RNU6-1048P	0	0	0
RN7SL455P	0	0	0
ENSG00000288707	0	2	0
ENSG00000219391	1	0	0
PPM1B-DT	14	1	5
RNU6-566P	0	0	0
ENSG00000294944	0	0	0
PDSS1P2	0	0	0
PPM1B	3120	2509	1642
ENSG00000285542	0	0	0
ENSG00000289272	12	18	11
RPL12P19	0	0	0
SLC3A1	3	4	0
PREPL	4532	5245	4256
CAMKMT	598	596	414
ENSG00000293929	12	2	0
ENSG00000293915	15	2	1
ENSG00000293979	0	1	0
ENSG00000293954	0	0	0
LINC01833	528	9	0
ENSG00000278957	1	0	0
ENSG00000274520	0	0	0
ENSG00000277311	0	0	0
ENSG00000225156	60	1	0
ENSG00000276229	1	0	0
ENSG00000277809	1	0	0
ENSG00000276048	0	0	0
ENSG00000274547	0	0	0
ENSG00000276670	2	0	0
SIX3-AS1	26	1	0
SIX3	1068	2	2
ENSG00000297017	0	0	0
ENSG00000286728	16	7	2
KRTCAP2P1	0	0	0
SIX2	15	15	4
ENSG00000231156	3	10	2
ENSG00000300032	0	0	0
LINC01121	0	1	1
SRBD1	1748	2345	2394
RN7SL414P	1	0	0
ENSG00000308950	3	4	2
PRKCE	127	209	128
PRKCE-AS1	0	0	0
ENSG00000303413	0	0	0
RPL26P15	0	0	0
ENSG00000232696	0	0	0
ENSG00000231336	0	0	0
ENSG00000294354	1	0	0
ENSG00000294377	1	0	0
RPL36AP14	0	0	0
ENSG00000304136	4	2	1
EPAS1	105	259	106
LINC01820	3	3	2
LINC02583	0	0	0
ENSG00000284608	0	0	0
ENSG00000253515	0	0	0
RN7SL817P	0	0	0
ENSG00000309820	1	0	0
TMEM247	0	0	0
ATP6V1E2	254	374	321
ENSG00000309857	4	2	0
RHOQ	2340	4833	3688
ENSG00000309873	0	0	0
RHOQ-AS1	0	0	0
PIGF	721	893	784
CRIPT	334	673	638
ENSG00000279254	5	1	2
LINC01118	13	26	15
SOCS5	1027	1151	1318
ENSG00000226548	0	2	2
ENSG00000298991	0	0	0
ENSG00000228925	1	0	0
MCFD2	4230	6362	6153
TTC7A	982	1800	1638
ENSG00000272814	0	0	0
ENSG00000233845	0	0	0
STPG4	0	0	2
ENSG00000273269	0	0	0
ENSG00000225187	0	1	0
CALM2	13361	21711	29463
ENSG00000226087	4	0	4
EPCAM-DT	32	95	36
ENSG00000301865	0	0	0
ENSG00000301821	0	0	0
BCYRN1	183	7	16
EPCAM	4215	6200	3509
RN7SKP119	0	0	0
MIR559	0	7	1
MSH2	8364	16699	18149
KCNK12	331	83	101
MSH2-OT1	4	14	19
ENSG00000230979	14	10	7
MSH6	11485	13387	16453
NME2P2	1	0	0
RBISP5	0	0	0
ENSG00000304164	0	0	0
FBXO11	3154	4248	4011
RPL36AP15	0	0	0
RPS27AP7	0	0	0
ENSG00000233230	21	42	29
ENSG00000230773	10	18	22
PPIAP62	0	0	0
VN1R18P	0	0	0
ENSG00000309573	23	100	47
ENSG00000309553	0	0	0
ENSG00000309614	0	0	0
RN7SKP224	0	0	0
ENSG00000309597	0	0	0
FOXN2	723	1320	1168
RNU4-49P	0	0	0
PPP1R21-DT	4	10	9
PPP1R21	786	1325	1104
RNU6-282P	0	0	0
ENSG00000293776	0	0	0
STON1	709	648	772
STON1-GTF2A1L	4	0	1
GTF2A1L	0	0	0
ENSG00000279956	0	0	0
TPT1P11	0	0	0
LHCGR	15	26	43
ELOBP3	0	0	0
ENSG00000282890	1	0	0
CTBP2P5	0	0	0
ENSG00000295214	0	0	0
FSHR	1	0	0
MIR548BA	0	0	0
ENSG00000282998	0	0	0
RNU6-439P	0	0	0
ENSG00000282828	0	0	0
ENSG00000305198	0	0	0
RPL7P13	0	0	0
SNORA75	0	0	0
NRXN1	972	659	668
ENSG00000285548	0	0	0
ENSG00000293880	0	0	0
MTCO1P42	0	1	1
ENSG00000283058	0	0	0
MIR8485	0	0	0
ENSG00000238165	5	17	4
ENSG00000286412	0	2	0
NRXN1-DT	5	6	0
ENSG00000301512	0	0	0
ENSG00000287867	0	0	0
KNOP1P3	0	0	0
ENSG00000309808	0	1	3
CRYGGP	0	0	0
ENSG00000230840	0	0	0
CCDC12P1	0	0	0
ENSG00000287344	0	0	0
ENSG00000305086	0	0	0
ENSG00000304390	0	0	0
ZNF863P	0	0	0
ENSG00000302235	0	0	0
LINC01867	1	2	0
GGCTP3	0	0	0
ENSG00000236837	0	0	0
CRTC1P1	0	3	0
FTH1P6	0	0	0
ENSG00000307303	0	0	0
ENSG00000309237	0	0	0
MIR4431	0	0	0
ENSG00000228033	4	14	8
ENSG00000232604	0	0	0
ENSG00000232668	0	0	0
ENSG00000251942	0	0	0
ENSG00000223897	0	0	0
ASB3	826	1165	1364
RNU6-997P	0	0	0
ENSG00000310265	0	0	0
CHAC2	239	487	632
ERLEC1	1104	1871	1816
ENSG00000306725	1	0	0
MIR3682	3	6	3
GPR75	30	23	66
PSME4	3890	6462	8701
ACYP2	108	132	126
RPL21P30	0	0	0
HMGB1P31	22	29	10
ENSG00000296193	0	0	0
ENSG00000241114	0	0	0
ENSG00000272156	6	7	3
ENSG00000289065	8	14	17
RNU7-172P	0	0	0
TSPYL6	0	0	0
C2orf73	0	0	0
ENSG00000304731	0	0	0
ENSG00000304706	5	12	8
SPTBN1	10731	19238	24942
SPTBN1-AS1	0	0	0
RPL23AP32	0	0	0
ENSG00000234943	0	0	0
ENSG00000304758	0	0	0
ENSG00000289627	0	0	0
SPTBN1-AS2	0	1	6
ENSG00000299013	0	0	0
EML6	61	71	142
EML6-AS1	0	0	0
ENSG00000285519	0	0	0
RNU7-81P	0	0	0
RTN4	9493	13977	14406
RNU6-433P	0	0	0
ENSG00000308497	5	2	0
ENSG00000290071	0	0	0
CLHC1	229	338	294
ENSG00000203327	0	10	17
CDPF1P1	1	2	2
RPS27A	9620	12122	10860
ENSG00000289606	8	11	7
MTIF2	2414	3345	2333
PRORSD1P	63	78	32
CCDC88A	6600	9020	12415
BTF3P5	3	9	7
RNU6-775P	0	0	0
RNU6-221P	0	0	0
RNU6-634P	0	0	0
ENSG00000308549	0	0	2
CFAP36	888	1555	1239
PPP4R3B	2284	3596	4449
ENSG00000212175	0	0	0
PPP4R3B-DT	13	23	25
PNPT1	2051	3117	3734
ENSG00000304487	0	0	0
EFEMP1	468	2699	3427
ENSG00000300478	0	0	0
RN7SKP208	0	0	0
ENSG00000272180	33	24	1
MIR217HG	1	2	9
MIR217	0	0	0
MIR216A	0	0	0
MIR216B	0	0	0
LINC01813	0	0	0
ENSG00000271894	0	0	0
ENSG00000233251	6	4	0
CCDC85A	7	0	1
RNA5SP93	0	0	0
ENSG00000298286	0	0	0
PPIAP63	0	0	0
ENSG00000300958	0	0	0
ENSG00000297911	0	0	0
EIF2S2P7	0	0	0
ENSG00000285755	7	8	2
ENSG00000270569	0	0	0
ENSG00000305544	0	0	0
ENSG00000212168	0	0	0
ENSG00000305526	0	0	0
ENSG00000305509	0	0	0
ENSG00000293611	0	0	0
ENSG00000293318	0	5	0
ACTG1P22	0	0	0
ENSG00000293612	1	2	4
VRK2	1147	1380	975
ENSG00000303851	0	0	0
FANCL	1400	2029	1994
ENSG00000273063	3	3	7
EIF3FP3	2314	3171	2632
LINC01795	0	0	0
ENSG00000298880	0	0	0
LINC01122	79	75	98
ENSG00000289529	0	0	0
ENSG00000231043	1102	2028	2149
ENSG00000306914	0	0	0
ENSG00000233891	0	0	0
ENSG00000305045	0	0	0
ENSG00000231815	0	0	0
ENSG00000270447	0	0	0
RNU6-508P	0	0	0
RNA5SP94	0	0	0
ENSG00000286604	0	0	0
ENSG00000304979	0	0	0
ENSG00000304963	0	0	0
ENSG00000285611	0	0	0
ENSG00000304066	0	0	0
ENSG00000301686	0	1	0
ENSG00000299640	0	0	0
ENSG00000299302	0	0	0
MIR4432HG	1	0	0
ENSG00000287640	0	0	0
RNU1-32P	0	0	0
MIR4432	0	0	0
BCL11A	540	742	1175
ENSG00000233953	0	0	0
ENSG00000294552	0	0	0
ENSG00000301945	0	0	1
ENSG00000295595	0	1	0
RN7SL361P	0	0	0
ENSG00000308184	0	0	0
ENSG00000297680	0	0	0
IFITM3P9	0	0	0
RPL26P13	0	0	0
RNU6-612P	0	0	0
ATP1B3P1	11	7	7
PAPOLG	1281	1746	1651
REL-DT	0	4	0
RN7SL632P	0	0	0
RPL21P33	0	0	0
REL	203	253	277
RNU4-51P	0	0	0
ENSG00000267520	0	0	0
NONOP2	1	2	4
RPS12P3	0	2	0
PUS10	211	286	165
RNA5SP95	0	0	0
PEX13	938	1548	1466
SANBR	685	962	834
ENSG00000274769	2	3	1
C2orf74-AS1	171	388	313
C2orf74	43	85	53
AHSA2P	899	1029	857
USP34	4476	6814	8494
ENSG00000273302	0	0	0
BNIP3P45	0	0	0
ENSG00000234624	0	0	0
SNORA70B	0	0	0
USP34-DT	16	72	41
ENSG00000304696	0	0	0
XPO1	19422	24106	24801
ENSG00000285857	0	0	0
ENSG00000304442	0	0	0
ENSG00000271243	0	0	0
ENSG00000295005	0	0	0
RPS29P10	0	0	0
RNU6-1145P	0	0	0
ENSG00000289410	12	8	9
ENSG00000213486	1	0	0
ENSG00000298210	0	0	0
ENSG00000289855	1	0	1
ENSG00000302408	4	1	0
RPS24P7	1	0	0
ENSG00000229831	0	0	0
FAM161A	1305	1597	1800
ENSG00000286360	1	5	3
ENSG00000289247	0	1	0
RPL31P30	0	0	0
ENSG00000277498	1	0	0
CCT4	14216	22051	17344
ENSG00000236498	8	3	1
COMMD1	498	725	762
ENSG00000299165	0	0	0
ENSG00000229839	46	40	38
RPSAP26	0	0	0
ENSG00000271657	0	0	1
B3GNT2	2226	1879	1396
MIR5192	0	0	0
ENSG00000310261	0	0	0
ENSG00000228541	29	19	7
RN7SL51P	0	0	0
ENSG00000305072	0	0	0
ENSG00000305092	0	0	0
ENSG00000270335	0	0	0
ENSG00000305117	0	0	0
ENSG00000305048	0	1	0
RN7SL18P	0	0	0
TMEM17	83	95	115
RPL37P13	0	0	0
RPL21P37	0	0	0
ENSG00000226622	0	0	3
PSAT1P2	0	0	0
RSL24D1P2	5	12	4
ENSG00000305136	0	0	0
ENSG00000305159	0	0	0
EHBP1	2254	2337	3376
ENSG00000286524	0	0	0
ENSG00000226605	0	0	0
RPS20P9	0	1	1
EHBP1-AS1	15	0	2
OTX1	149	11	1
ENSG00000303305	0	0	0
ENSG00000270437	0	0	0
ENSG00000286480	1	0	0
RPL27P5	0	0	0
DBIL5P2	2	0	2
WDPCP	1003	718	687
MTFR2P1	3	1	0
ENSG00000297733	35	15	4
ENSG00000279485	0	0	0
MDH1	7490	13326	12523
ENSG00000304479	48	0	3
PRELID1P6	295	447	433
ENSG00000293170	0	0	0
RPS4XP5	0	0	0
RPL27P6	0	0	0
CSP1	0	0	0
HNRNPA1P66	0	1	0
ENSG00000289943	26	22	14
ENSG00000306219	0	0	0
UGP2	24668	23714	22456
ENSG00000251775	0	0	0
VPS54	964	1570	1639
ENSG00000310049	0	0	0
ENSG00000228079	0	0	2
PELI1	2907	5488	3438
ENSG00000225889	209	810	137
LINC00309	9	5	0
ENSG00000270354	15	23	0
ENSG00000305640	8	8	0
ENSG00000305703	0	0	0
ENSG00000288932	10	20	1
ENSG00000305620	55	75	1
ENSG00000293670	1	1	0
ENSG00000290118	4	0	1
ENSG00000238201	0	1	0
ENSG00000238012	0	0	0
MIR4433B	0	0	0
MIR4433A	0	0	0
RPL23AP37	0	0	0
LGALSL-DT	10	7	10
ENSG00000305688	0	0	0
ENSG00000237217	0	0	0
LGALSL	1395	2248	2566
LINC01805	0	0	0
AFTPH-DT	8	13	9
AFTPH	861	1628	1532
MIR4434	1	0	0
ENSG00000302714	1	2	1
RNU6-100P	0	3	1
LINC02579	0	0	0
SERTAD2	478	826	694
ENSG00000226756	0	2	10
RPS10P9	0	0	0
ENSG00000303882	1	6	8
LINC01800	4	6	4
ENSG00000300542	0	1	0
RN7SL341P	0	0	0
ENSG00000287123	0	0	0
ENSG00000300610	0	0	0
ENSG00000300479	1	0	1
LINC02245	154	232	127
RN7SL211P	0	0	1
RPL11P1	11	8	4
SLC1A4	294	746	328
RNU6-548P	1	0	0
LINC02576	0	0	0
CEP68	2005	2346	3141
RAB1A	4508	7352	7487
ENSG00000300592	1	9	3
SNORA74	0	0	0
ENSG00000293332	15	21	11
ENSG00000273763	0	0	0
VDAC2P5	5085	7780	6558
ACTR2	11150	20861	19842
ENSG00000298612	0	1	0
SPRED2	710	2477	2265
ENSG00000232693	0	0	1
LINC02934	4	18	12
ENSG00000234255	0	0	0
DNAJB12P1	0	0	0
RPS15AP15	0	0	0
RN7SL635P	0	0	0
VTRNA2-2P	0	0	0
LINC03050	0	0	0
KRT18P33	0	0	0
ENSG00000296195	1	3	1
ENSG00000227293	0	0	0
ENSG00000225815	0	0	0
MIR4778	0	0	0
ENSG00000296696	24	28	15
LINC01873	2	2	5
MEIS1-AS3	0	0	0
MEIS1	7	16	4
ENSG00000297023	0	0	0
MEIS1-AS2	0	0	1
ENSG00000305791	0	0	0
ENSG00000301389	0	0	0
LINC01798	1	1	0
ENSG00000298982	0	0	0
ENSG00000298962	0	0	0
ENSG00000298923	0	0	0
LINC01797	0	0	0
DNMT3AP1	0	0	0
LINC01628	0	0	0
ENSG00000230355	0	0	0
ENSG00000298874	0	0	0
ENSG00000223859	0	0	0
LINC01828	0	0	0
LINC01829	26	8	7
ENSG00000236605	0	0	0
ENSG00000289533	2014	320	0
ETAA1	1532	1714	1620
ENSG00000296177	0	0	0
ENSG00000308373	0	0	0
ENSG00000308447	0	0	0
LINC02831	0	0	0
ENSG00000308427	0	0	0
ENSG00000235495	0	0	0
ENSG00000286002	0	0	0
LINC01812	0	0	0
ENSG00000297812	0	0	0
FBXL12P1	0	0	0
C1D	193	344	345
ENSG00000284932	0	0	0
ENSG00000306782	0	1	0
DNAAF10	357	386	409
PPIAP64	0	0	0
ENSG00000273398	2	2	0
PNO1	1713	1933	2244
PPP3R1	2159	2832	2857
ENSG00000273275	9	14	17
ENSG00000289156	1	0	6
ENSG00000273064	5	10	5
CNRIP1	121	135	301
ENSG00000303949	0	0	0
ENSG00000203395	0	0	0
PLEK	2	0	7
ENSG00000301281	0	0	0
WDR4P2	0	0	0
FBXO48	126	231	114
APLF	323	402	318
ENSG00000214525	0	0	0
PROKR1	213	237	311
ARHGAP25	225	214	143
LINC01890	0	0	0
LINC01888	0	0	0
ENSG00000300716	0	0	0
BMP10	0	0	0
ENSG00000307469	0	0	0
GKN3P	0	0	0
GKN2	0	0	0
GKN1	0	0	0
ENSG00000300948	1	0	0
ANTXR1	1868	4121	6047
ENSG00000286347	0	0	0
MIR3126	0	0	0
ENSG00000300924	0	0	0
RNA5SP96	0	0	0
RNU6-1216P	0	0	0
ENSG00000271597	0	0	0
ENSG00000302374	1	1	0
ENSG00000302394	0	1	1
GFPT1	5818	7046	5171
NFU1	885	1543	1253
AAK1	1257	1828	2362
RN7SL604P	0	0	0
SNORA36C	1	0	0
ENSG00000295761	0	0	0
RPL36AP16	1	0	0
B3GALNT1P1	0	0	0
ANXA4	544	428	417
ENSG00000289250	0	0	0
ENSG00000297346	0	0	5
ENSG00000231024	0	0	0
SMANTIS	0	0	0
GMCL1	1166	1831	1714
ENSG00000275381	0	0	0
RPL23AP92	0	1	0
SNRNP27	602	881	921
MXD1	81	185	83
ENSG00000305831	0	1	0
ENSG00000305793	0	0	0
ASPRV1	0	0	0
ENSG00000293615	4	4	11
PCBP1-AS1	302	420	349
ENSG00000305817	0	0	0
ENSG00000305899	0	0	0
RN7SL470P	0	0	0
PCBP1	14181	18339	24228
ENSG00000233060	2	0	1
LINC01816	41	95	83
MRPL36P1	0	0	0
ENSG00000305846	1	0	0
ENSG00000305859	1	2	4
ENSG00000305652	3	5	1
C2orf42	311	358	365
TIA1	4027	6116	7664
MIR1285-2	0	0	0
RPL39P15	1	4	0
PCYOX1	2453	4077	5017
SNRPG	430	833	970
ENSG00000302580	0	1	0
FAM136A	3519	5411	6033
ENSG00000233849	18	30	26
ENSG00000297954	0	1	0
BRD7P6	0	0	0
ENSG00000229229	0	0	0
ENSG00000301215	0	0	0
TGFA	254	325	119
TGFA-IT1	0	0	0
ENSG00000294895	0	0	0
ENSG00000294870	1	3	0
ENSG00000302936	5	0	5
ADD2	7980	23050	26446
ENSG00000302964	0	0	3
ENSG00000286979	0	0	1
ENSG00000235035	0	0	0
ENSG00000302455	0	0	0
FIGLA	0	0	0
HMGN2P21	2	16	18
CLEC4F	0	0	0
MOB4P1	0	0	2
CD207	0	0	0
LINC01143	0	0	0
ENSG00000296671	0	0	0
ENSG00000277764	0	0	0
VAX2	0	0	0
ATP6V1B1	2	0	0
ENSG00000258881	5	0	0
ATP6V1B1-AS1	0	0	0
ELOCP21	0	0	0
RN7SL160P	0	0	0
TEX261	695	1264	1731
ANKRD53	26	32	20
ENSG00000299136	0	1	2
ENSG00000228384	0	0	0
ENSG00000236469	0	2	0
OR7E91P	0	1	0
ENSG00000299122	0	0	0
OR7E46P	0	0	0
OR7E62P	0	0	0
NAGK	813	1539	1379
ENSG00000272735	5	15	5
MCEE	207	341	245
ENSG00000288065	0	0	0
MPHOSPH10	1390	2379	3055
ENSG00000233870	0	0	0
PAIP2B	1720	2267	1766
ENSG00000301151	0	1	5
ZNF638	4972	6618	11343
ENSG00000281195	8	22	22
RNU6-105P	0	0	0
ENSG00000289463	10	12	15
ENSG00000298938	0	1	0
ENSG00000289327	0	6	6
DYSF	473	2793	5330
ENSG00000303319	10	9	13
ENSG00000308700	1	0	0
ENSG00000300545	0	0	2
ENSG00000300567	0	0	0
RPS20P10	0	0	0
CYP26B1	27	42	17
ENSG00000289615	1	2	0
ENSG00000295385	0	0	0
EXOC6B	2759	3520	4438
RPS15AP13	0	0	0
RNU2-39P	0	0	0
ENSG00000212378	0	0	0
ENSG00000309317	2	3	2
SPR	150	150	110
EMX1	65	22	1
ENSG00000278060	0	1	0
SFXN5	784	1621	2513
RAB11FIP5	796	1029	1126
ENSG00000272702	12	14	8
ENSG00000297117	1	1	2
NOTO	8	8	2
SMYD5	2075	2888	2875
PRADC1	210	279	293
CCT7	15209	22598	19016
FBXO41	960	1222	1605
ENSG00000310032	1	1	2
ENSG00000310068	0	0	3
EGR4	10	1	0
RNU6-111P	0	0	0
ENSG00000287435	0	0	0
ENSG00000285068	0	0	0
RPSAP28	0	0	0
ALMS1	2641	3426	5643
ENSG00000295621	0	0	0
ALMS1-IT1	194	123	25
ENSG00000284902	0	0	0
NAT8	0	0	0
ALMS1P1	2	6	10
NAT8B	0	1	0
TPRKB	778	1248	1372
ENSG00000273245	3	3	1
ENSG00000280037	2	0	0
DUSP11	687	974	982
C2orf78	36	55	18
ENSG00000287250	5	2	3
ENSG00000293671	0	0	0
STAMBP	2357	3693	3402
ENSG00000286244	1	2	0
ENSG00000271536	0	0	0
ACTG2	74	70	115
DGUOK	1781	3004	2692
DGUOK-AS1	26	29	36
RNA5SP97	0	0	0
ENSG00000304628	0	0	0
TET3	1380	2046	2275
ENSG00000235499	0	0	0
ENSG00000279181	0	0	0
ENSG00000294996	1	0	1
FNBP1P1	11	0	9
ENSG00000217702	6	4	4
BOLA3	621	904	885
BOLA3-DT	374	278	242
MOB1A	4094	6369	5292
MTHFD2	10721	24952	5877
ENSG00000279201	0	0	0
ENSG00000279070	7	7	1
ENSG00000264324	5	6	7
SLC4A5	8	10	22
KRT18P26	1	2	0
RNU6-542P	0	0	0
ENSG00000301222	0	0	0
NECAP1P2	0	0	0
TAF13P2	0	0	0
DCTN1	5962	9401	11053
DCTN1-AS1	0	1	2
ENSG00000159239	0	0	1
ENSG00000234521	2	1	0
C2orf81	31	27	50
ENSG00000286623	0	0	0
HMGA1P8	316	349	410
WDR54	1611	2306	1619
RTKN	1466	2245	2324
INO80B	1	4	13
INO80B-WBP1	0	0	0
WBP1	164	240	199
MOGS	2064	2603	2794
ENSG00000286883	1	2	1
MRPL53	0	0	0
CCDC142	224	235	457
TTC31	1056	1882	1583
LBX2	13	19	3
LBX2-AS1	58	29	8
ENSG00000272183	1	2	0
PCGF1	203	300	257
TLX2	6	3	1
DQX1	39	27	21
AUP1	1852	2957	3272
HTRA2	650	1135	1113
LOXL3	852	1174	1086
DOK1	564	855	1029
M1AP	303	267	151
TOR1BP1	1	0	0
TVP23BP2	0	0	0
SEMA4F	419	451	428
ENSG00000297014	0	0	0
ENSG00000286739	9	1	2
ENSG00000287687	4	2	2
RPS28P5	0	0	0
ENSG00000297035	0	0	0
HK2-DT	206	267	349
HK2	4128	7942	6353
ENSG00000309281	13	0	1
ENSG00000309310	1	0	0
LINC01291	1	3	0
ENSG00000236209	3	0	0
POLE4	205	193	196
TACR1	14	9	3
MIR5000	0	0	0
ENSG00000270571	17	1	2
ENSG00000306831	14	3	4
ENSG00000306791	0	0	0
ENSG00000306811	0	0	3
GAPDHP57	0	0	0
EVA1A	49	86	122
ENSG00000237293	0	0	0
ENSG00000238410	0	0	0
EVA1A-AS	0	0	0
ENSG00000230477	0	0	0
MRPL19	1881	3152	3833
SUPT4H1P1	0	0	0
GCFC2	634	820	1217
ENSG00000270696	0	0	1
ENSG00000271452	14	36	26
ENSG00000270462	0	0	0
ENSG00000286045	3	6	5
ENSG00000270996	0	5	5
ENSG00000287474	0	0	0
SUCLA2P2	0	0	0
ENSG00000287172	0	0	0
ENSG00000296478	0	0	0
ENSG00000287749	0	0	0
PNPP1	0	0	0
ENSG00000309755	0	0	0
USP21P2	0	0	0
RN7SKP203	0	0	0
ENSG00000306601	0	0	0
ENSG00000293833	0	7	0
RN7SKP164	0	0	0
ENSG00000287026	0	0	0
ENSG00000287130	0	1	0
ENSG00000286202	0	0	0
LRRTM4	190	427	557
RNA5SP98	0	0	0
ENSG00000287025	1	0	1
LRRTM4-AS1	0	1	0
ENSG00000304328	261	1839	994
ENSG00000286932	4	7	4
ENSG00000227088	6	4	4
ENSG00000230968	0	0	0
ENSG00000293093	0	0	0
RPL38P2	0	0	0
LINC01851	0	0	0
ENSG00000229494	0	0	0
ENSG00000298364	2	10	0
CYCSP6	0	0	0
ENSG00000270470	0	0	0
ENSG00000234877	0	0	0
ENSG00000307745	0	0	0
ENSG00000294724	0	0	0
ENSG00000286260	0	0	0
RNU6-827P	0	0	0
RNU6-812P	0	0	0
REG3G	0	0	0
REG1B	0	0	0
REG1A	5	68	31
ENSG00000290771	0	0	0
REG1CP	0	0	0
REG3A	0	0	0
ENSG00000224879	0	0	0
CTNNA2	1110	843	1199
ENSG00000286227	0	0	0
CTNNA2-AS1	2	1	5
ENSG00000277171	0	0	0
GNA13P1	0	0	0
RNU6-561P	0	0	0
MIR4264	0	0	0
MIR8080	0	0	0
ENSG00000224731	0	0	0
RBM7P1	14	13	15
LRRTM1	120	36	77
ENSG00000237031	0	0	0
ENSG00000230975	0	0	0
ENSG00000303510	0	0	0
ENSG00000300039	0	0	0
ANKRD11P1	0	0	0
CHMP4AP1	0	0	0
LINC01815	0	0	0
ENSG00000306384	0	1	0
RNA5SP99	0	0	0
ENSG00000233444	0	0	0
ENSG00000303999	0	0	0
ENSG00000304018	0	0	0
ENSG00000231781	1	1	0
RN7SL201P	0	0	0
ENSG00000309701	0	0	0
LYARP1	0	0	0
RNU6-685P	0	0	0
ENSG00000305189	0	0	0
ENSG00000296804	0	0	0
ENSG00000237498	0	0	0
RBX1P1	0	0	0
ENSG00000298295	0	0	0
MTND4P25	0	0	0
MTND5P27	0	0	0
MTND6P7	0	0	0
MTCYBP7	0	0	0
ENSG00000286211	0	0	0
