""	WT_1	WT_2	Y2_1	Y2_2	YT_1	YT_2
ENSG00000248170	0	0	0	0	0	0
ENSG00000295462	0	0	0	0	0	0
ENSG00000248667	0	0	0	0	0	0
ENSG00000249023	0	0	0	0	0	0
ENSG00000249842	0	0	0	0	0	0
RPL5P17	5	4	54	2	66	24
ENSG00000304984	1	3	12	0	0	14
ENSG00000251066	4	3	15	1	10	9
ENSG00000250874	0	0	14	0	0	2
RPS2P25	0	0	0	0	0	0
ENSG00000249153	0	0	0	0	0	0
ENSG00000299923	0	0	0	0	0	0
PTP4A1P4	0	0	0	0	0	0
ENSG00000308925	0	0	0	0	0	0
ENSG00000290550	0	0	0	0	0	0
NBPF22P	0	0	0	0	0	0
ENSG00000280009	1	0	4	2	7	4
ENSG00000248195	0	0	0	0	0	0
ENSG00000248363	0	0	0	0	0	0
ENSG00000250124	0	0	0	0	0	0
ENSG00000251585	0	0	0	0	0	0
ENSG00000299385	0	0	0	0	0	0
COX7C	5065	5677	11214	5741	16917	20023
SNORD138	0	0	0	0	0	0
RNU6-804P	0	0	0	0	0	0
LINC02059	0	0	0	0	0	0
ENSG00000248701	0	0	0	0	0	0
ENSG00000294529	0	0	0	0	0	0
ENSG00000242477	11	8	81	10	61	20
ENSG00000249061	0	0	0	0	0	0
MIR4280HG	0	0	0	0	0	0
RN7SKP34	0	0	0	0	0	0
MIR4280	0	0	0	0	0	0
ENSG00000297568	0	0	0	0	0	0
LINC01949	0	0	0	0	0	0
ENSG00000303897	0	3	0	0	2	1
RASA1	1716	1634	2301	1596	4595	2870
RN7SL629P	0	0	0	0	0	0
RNU6-606P	0	0	0	0	0	0
CCNH	920	959	1802	778	3124	2972
ENSG00000285190	0	0	0	2	4	5
ENSG00000303913	1	0	1	0	2	0
RNU6-727P	0	0	0	0	0	0
LINC02488	0	0	0	0	0	0
LINC02144	1	0	1	0	3	0
ENSG00000287783	3	1	10	3	2	8
ENSG00000287862	11	7	37	5	15	35
ENSG00000306169	0	0	0	0	0	0
ENSG00000306150	0	0	0	0	0	0
ENSG00000289462	0	2	2	0	0	0
TMEM161B	393	415	970	302	788	745
TMEM161B-DT	256	250	267	203	889	377
RNA5SP187	0	0	0	0	0	0
RPS3AP22	0	0	0	0	0	0
ENSG00000250306	0	0	0	0	0	0
MIR9-2HG	0	0	3	1	2	1
ENSG00000302817	0	0	0	0	0	0
H3P23	0	0	0	0	0	0
ENSG00000302771	0	0	0	0	0	0
MIR9-2	0	0	0	0	0	0
MEF2C-AS2	0	0	0	0	0	0
ENSG00000302841	0	0	0	0	0	0
GSCAR	0	0	0	0	0	0
ENSG00000250555	0	0	0	0	0	0
MEF2C	18	15	205	21	97	160
MEF2C-AS1	9	8	22	5	18	17
ENSG00000302617	0	0	0	0	0	0
ENSG00000302676	0	0	0	0	0	0
ENSG00000302798	0	0	0	0	0	0
ENSG00000302743	0	0	0	0	0	0
ENSG00000288740	0	0	0	0	0	0
ENSG00000250831	0	0	0	0	0	0
LINC02161	0	0	0	0	0	0
ENSG00000301976	0	0	0	0	0	0
ENSG00000296543	0	0	1	0	1	2
ENSG00000214942	0	0	0	0	0	0
ENSG00000296522	1	0	3	5	4	4
MIR3660	0	0	0	0	0	0
LINC01339	6	10	30	2	8	18
ENSG00000305270	0	0	0	0	0	0
ENSG00000253321	0	0	0	0	1	2
ENSG00000260871	3	0	5	2	15	14
CETN3	759	738	1428	764	2093	1437
ENSG00000255647	9	4	9	8	34	9
MBLAC2	302	325	537	424	1600	951
POLR3G	8296	7855	13932	10021	37831	23448
LYSMD3	707	723	1146	438	1163	1188
ADGRV1	1197	855	1685	1209	2646	1232
ENSG00000295472	0	1	0	0	2	0
LYSETP1	0	0	0	0	0	0
LUCAT1	0	1	3	0	0	7
ENSG00000285618	0	0	0	0	0	0
ENSG00000212930	0	0	0	0	0	0
ENSG00000251093	0	0	0	0	0	0
RNU4-90P	0	0	0	0	0	0
ENSG00000286638	7	5	8	4	9	0
ENSG00000234292	2	4	3	0	3	2
ENSG00000240388	0	0	0	0	0	0
ENSG00000241059	0	0	0	0	0	0
ARRDC3	408	429	1085	1048	2814	1320
ARRDC3-AS1	18	18	19	18	43	9
ENSG00000301460	0	0	0	0	0	0
ENSG00000301439	0	0	4	1	2	2
ENSG00000301415	0	0	0	0	0	0
RAB5CP2	1	0	1	0	0	1
ENSG00000286121	1	0	0	2	7	3
PCBP2P3	0	0	0	1	0	0
ENSG00000276426	0	0	0	0	0	0
ENSG00000308653	0	0	0	0	0	0
ENSG00000250049	5	8	15	7	14	7
ENSG00000249776	0	0	0	0	1	0
ENSG00000310480	0	0	0	0	0	0
ENSG00000249169	0	0	0	0	0	0
ENSG00000248588	0	0	1	0	0	8
LDHBP3	0	0	0	0	0	0
LINC02058	0	0	0	0	0	0
CCT7P2	0	0	0	0	0	0
ENSG00000251361	3	3	23	1	1	10
ENSG00000286509	0	0	0	0	0	0
ENSG00000299401	0	0	0	0	0	0
ENSG00000299425	0	0	6	0	1	5
POLD2P1	0	0	0	0	0	0
ENSG00000299442	0	0	0	0	0	0
ENSG00000301721	0	0	0	1	1	0
NR2F1-AS1	30	19	46	60	194	63
ENSG00000306172	2	0	3	1	1	1
NR2F1	0	3	11	80	205	55
ENSG00000306636	0	0	0	0	0	0
ENSG00000289274	0	0	0	0	0	0
ENSG00000278905	0	0	0	0	0	0
ARB2A	506	479	684	525	1713	863
MIR2277	0	0	0	0	0	0
ENSG00000287180	0	0	0	0	0	0
NPM1P27	26869	27153	41940	15933	43284	33511
POU5F2	0	0	1	0	0	2
ENSG00000272406	0	0	0	0	0	0
ENSG00000287447	0	0	0	0	0	0
ENSG00000251023	2	0	5	5	6	19
ENSG00000299462	0	0	0	0	0	0
ENSG00000286577	0	0	1	0	2	0
KIAA0825	122	96	284	65	193	289
ENSG00000309437	0	0	0	0	0	0
MTND5P12	0	0	0	0	0	0
MTND6P3	0	0	0	0	0	0
MTCYBP35	0	0	1	0	0	0
ENSG00000232578	0	0	5	0	5	3
ENSG00000270133	7	5	6	3	10	2
SLF1	746	747	1087	577	1329	873
MCTP1	77	51	724	42	91	381
ENSG00000249175	0	0	0	0	0	0
RPL7P18	0	0	0	0	0	0
ENSG00000276514	0	0	0	0	0	0
MCTP1-AS1	0	0	0	0	0	0
ENSG00000310288	0	0	0	0	0	0
FAM81B	4	0	3	7	15	5
RTRAFP2	0	1	8	0	2	1
SKIC3	2769	2579	5034	2089	5642	4202
RNU6-308P	0	0	0	0	0	0
ARSK	608	580	1365	592	1999	1507
GPR150	2	2	6	12	32	8
RFESD	104	91	126	112	288	118
SPATA9	1	2	0	1	4	5
ENSG00000250240	1	0	11	2	10	3
RHOBTB3	704	624	1827	1081	3490	2037
GLRX	519	496	779	498	1432	1149
HSPD1P11	0	0	0	0	2	0
ENSG00000251409	13	6	7	10	28	15
GGCTP1	0	0	0	0	0	0
ENSG00000272021	0	0	0	0	0	0
LINC01554	1	1	1	2	0	0
ENSG00000298433	0	0	0	0	0	0
ENSG00000250362	0	0	1	0	0	0
ENSG00000298360	0	0	0	0	0	0
ELL2	669	652	1137	305	1132	1078
CAST	1716	1468	1984	1398	4789	2772
ENSG00000250955	0	0	0	0	0	0
FABP5P5	0	0	0	0	0	0
ENSG00000298412	0	0	0	0	0	0
MIR583	0	0	0	0	0	0
ENSG00000289337	0	0	1	0	0	0
RNU6-524P	0	0	0	0	0	0
ENSG00000249746	0	0	0	0	0	0
ENSG00000298381	0	0	0	0	0	0
PCSK1	79	73	504	163	420	364
ENSG00000301420	0	0	0	0	0	0
ENSG00000293684	0	0	0	0	0	0
ENSG00000309580	0	0	0	0	0	0
ENSG00000298799	0	0	0	0	0	0
ENSG00000249180	0	0	0	0	0	0
ERAP1	909	860	1210	1209	3226	1376
ENSG00000248734	0	1	0	0	0	0
ENSG00000272109	0	0	0	0	0	0
ENSG00000294423	3	5	1	0	2	0
ENSG00000294445	0	0	0	0	0	0
ENSG00000247121	18	11	15	10	40	27
ERAP2	0	0	0	0	1	1
LNPEP	202	149	491	204	709	468
ENSG00000227836	0	0	0	0	0	1
ENSG00000302623	0	0	0	0	0	0
SETP22	0	0	2	0	6	1
ENSG00000302637	0	0	0	0	0	0
LIX1-AS1	0	1	1	0	3	0
LIX1	49	41	21	40	111	41
RIOK2	1161	1227	2394	909	2440	2383
RNU1-73P	0	0	0	0	2	0
ENSG00000286828	2	0	5	3	9	9
ENSG00000248758	0	0	0	0	0	0
ENSG00000251054	0	0	0	0	0	0
ENSG00000249761	0	0	0	0	0	0
YTHDF1P1	0	0	0	0	0	0
ENSG00000249977	0	0	0	0	0	0
LINC01340	5	1	0	9	30	8
MTCYBP40	0	0	0	0	0	0
ENSG00000251193	0	0	0	0	0	0
ENSG00000286953	0	0	0	0	0	0
LINC01846	1	0	0	0	0	0
ENSG00000249101	0	1	27	0	57	10
ENSG00000249135	0	0	0	0	0	0
PSME2P1	364	323	784	494	871	412
ENSG00000176183	0	0	6	1	0	0
KRT8P32	1	4	21	0	4	6
MRPS35P2	0	0	0	0	0	0
MTCO2P24	0	0	0	0	0	0
MTCO1P24	0	0	0	0	0	0
CTBP2P4	156	137	277	112	415	309
ENSG00000303213	0	0	0	0	0	0
DDX18P4	0	1	3	2	2	3
RGMB	818	687	1527	1244	3558	1609
RGMB-AS1	0	0	12	1	11	11
ENSG00000279232	2	1	0	0	2	2
CSNK1A1P3	0	0	1	0	1	1
ENSG00000295348	0	0	0	0	0	0
CHD1	2340	2087	3367	1985	6594	4421
RNU6-402P	0	0	0	0	0	0
CHD1-DT	17	11	28	19	76	34
ENSG00000241597	0	0	0	0	0	0
ENSG00000309430	0	0	0	0	0	0
ENSG00000294701	0	0	0	0	0	0
ENSG00000295885	0	0	0	0	0	0
LINC02113	0	0	0	0	0	0
ENSG00000249444	0	0	0	0	0	0
ENSG00000206356	0	0	0	0	0	0
GUSBP8	0	0	0	0	0	0
ENSG00000248236	0	0	0	0	0	0
ENSG00000248928	0	0	0	0	0	0
ENSG00000304898	0	0	0	0	0	0
CRLF3P2	0	0	0	0	0	0
ENSG00000300549	0	0	0	2	0	0
EEF1A1P20	0	0	0	0	0	0
MTCYBP22	0	0	0	0	0	0
ENSG00000300576	0	0	0	0	0	0
MTND6P22	0	0	0	0	0	0
MTND5P10	0	0	0	0	0	0
MTND4P35	0	0	2	0	1	2
MTND4LP5	0	0	0	0	0	0
MTND3P19	0	0	0	0	0	0
MTCO3P22	0	0	0	0	0	0
MTATP6P2	0	0	0	0	0	0
MTCO2P22	0	0	7	0	4	1
MTCO1P22	0	0	0	0	0	0
GUSBP7	0	0	0	0	0	0
RNU6-1119P	0	0	0	0	0	0
FAM174A-DT	14	9	17	13	39	28
GUSBP19	0	0	0	0	0	0
ENSG00000273957	0	0	0	0	0	0
ENSG00000249787	0	0	0	0	0	0
FAM174A	107	118	300	97	192	141
ENSG00000250806	0	0	0	0	0	0
ENSG00000294124	0	0	0	0	0	0
RN7SKP62	0	0	0	0	0	0
ENSG00000309830	0	0	0	0	0	0
ST8SIA4	53	38	118	154	428	158
MIR548P	0	0	0	0	0	0
ENSG00000289912	3	3	2	2	6	0
ENSG00000298054	0	0	0	0	0	0
ENSG00000294864	0	0	0	0	0	0
ENSG00000294891	0	0	0	0	0	0
ENSG00000301625	0	0	0	0	0	0
RN7SL802P	0	0	0	0	0	0
OR7H2P	0	0	0	0	0	0
ENSG00000249495	0	0	0	0	0	0
RNA5SP188	0	0	0	0	0	0
ENSG00000248261	0	0	0	0	0	0
SLCO4C1	386	316	1198	209	587	1034
RN7SKP68	0	0	0	0	0	0
SLCO6A1	9	1	3	13	32	8
ENSG00000249017	0	0	0	0	0	0
ENSG00000296919	0	0	3	2	0	0
ENSG00000303908	2	0	1	1	0	0
LINC00492	0	0	0	0	0	0
LINC00491	170	156	289	156	468	309
ENSG00000247402	0	0	0	0	0	0
ENSG00000286338	0	0	0	0	0	2
ENSG00000300209	9	6	2	2	6	2
PAM	1943	1743	1383	3625	8297	2218
ENSG00000307497	0	0	0	0	0	0
EIF3KP1	0	0	0	0	0	0
GIN1	292	242	339	211	659	420
PPIP5K2	1336	1270	2570	1181	3179	2402
ENSG00000248203	0	0	0	0	0	0
ENSG00000300435	0	0	0	0	0	0
MACIR	712	756	1004	718	1682	960
ENSG00000299815	0	0	0	0	0	0
ENSG00000296261	0	0	0	0	0	0
ENSG00000296313	0	0	0	0	0	0
ENSG00000293393	0	0	0	0	0	0
PDZPH1P	0	0	0	0	0	0
ENSG00000295164	0	0	0	0	0	0
LINC02115	0	0	0	1	4	0
NUDT12	744	788	1027	670	1704	993
ENSG00000297797	0	0	0	0	0	0
ENSG00000283462	0	0	0	0	0	0
NIHCOLE	3	2	4	3	32	6
RNU1-140P	0	0	0	0	0	0
RN7SL255P	0	0	0	0	0	0
ENSG00000306227	0	1	0	0	2	1
ENSG00000251574	0	0	0	0	0	0
ENSG00000278958	0	0	0	0	0	0
ENSG00000298628	0	0	0	0	0	0
ENSG00000253776	0	0	0	0	0	0
RNU6-334P	0	0	0	0	0	0
RAB9BP1	0	0	0	0	0	0
ENSG00000297107	0	0	0	0	0	0
RNA5SP189	0	0	0	0	0	0
ENSG00000302768	0	0	0	0	0	0
ENSG00000306585	0	0	0	0	0	0
ENSG00000251204	24	20	54	31	89	46
ENSG00000299184	0	0	0	0	0	0
ENSG00000250145	0	0	0	0	0	0
ENSG00000252337	0	0	0	0	0	0
LINC01950	29	31	105	3	2	87
ENSG00000294005	257	220	521	16	32	601
ENSG00000304947	0	1	0	0	0	0
ENSG00000293866	0	0	0	0	1	0
PSMC1P5	0	0	8	0	2	2
ENSG00000304371	0	0	0	0	0	0
EFNA5	395	371	718	717	2280	952
ENSG00000297832	2	2	3	2	6	2
ENSG00000297808	9	10	13	12	22	13
ENSG00000297852	44	32	53	78	124	24
ENSG00000249959	0	0	0	0	1	0
ENSG00000248827	0	1	37	1	25	8
RN7SL782P	0	0	0	0	0	0
ENSG00000296200	0	0	0	0	0	0
RN7SKP122	0	0	0	0	0	0
FBXL17	115	132	214	264	633	262
ENSG00000286503	2	4	3	1	6	2
ENSG00000307906	0	0	0	0	0	0
ENSG00000307920	0	0	0	1	2	2
ENSG00000244245	1	4	98	4	169	146
ENSG00000293711	2	4	8	3	5	1
ENSG00000308934	0	0	0	0	1	0
LINC01023	25	36	33	35	70	36
ENSG00000289260	1	2	8	1	2	0
ENSG00000295516	11	6	7	13	17	2
FER	313	328	647	297	989	783
RACK1P1	0	0	5	0	3	1
ENSG00000250383	0	0	0	0	0	0
LSM2P2	1	0	1	0	0	0
RNU6-47P	0	0	0	0	0	0
GJA1P1	3	6	103	3	55	21
ENSG00000286882	0	0	0	1	0	0
ENSG00000249476	6	1	0	2	7	4
PJA2	3752	3570	5242	2821	7625	4766
ENSG00000299642	0	0	0	0	0	0
ENSG00000299656	2	0	2	0	3	3
ENSG00000248867	0	0	0	0	0	0
ENSG00000251367	0	0	0	0	0	0
ENSG00000248876	0	0	0	0	0	0
ENSG00000248440	0	0	0	0	0	0
KRT18P42	0	0	1	0	0	0
ENSG00000306769	0	0	0	0	0	0
MAN2A1-DT	7	10	8	8	17	7
MAN2A1	3706	3228	5235	1907	5262	4682
RN7SKP230	0	0	0	0	0	0
ENSG00000249068	0	0	0	0	0	0
LINC01848	0	0	0	0	0	0
PGAM5P1	0	0	0	0	0	0
ENSG00000305324	0	0	0	0	0	0
ENSG00000305706	0	0	0	0	0	0
ENSG00000303264	0	0	0	0	0	0
TMEM232	35	32	37	23	61	47
MIR548F3	0	0	0	0	0	0
ENSG00000300170	1	0	0	0	4	0
ENSG00000207177	0	0	0	0	0	0
SLC25A46	849	871	1650	702	1773	1412
ENSG00000270779	0	0	0	0	0	0
BCLAF1P1	5	4	28	6	40	18
ENSG00000298655	0	0	0	0	0	0
ENSG00000248428	0	0	0	0	2	0
ENSG00000251627	0	0	0	0	0	0
ENSG00000296915	0	0	2	0	0	1
TSLP	38	30	44	26	70	34
ENSG00000253613	0	1	0	0	0	3
WDR36	1852	1649	2765	1287	3501	2380
ENSG00000299289	0	0	0	0	0	0
ENSG00000250728	0	0	0	0	0	0
RPS3AP21	15	22	295	13	180	86
CAMK4	362	320	358	244	730	378
ENSG00000288965	0	0	0	0	0	0
ENSG00000249318	0	0	0	0	0	0
ENSG00000248268	17	10	21	1	0	15
STARD4	2900	2946	2421	3392	6916	2929
STARD4-AS1	16	20	26	10	49	21
ENSG00000302663	0	0	0	0	0	0
ENSG00000302689	0	0	0	1	1	0
HMGN1P13	2	1	0	1	9	3
ENSG00000251099	0	0	0	0	0	0
NREP	11769	11253	21460	15133	51952	36072
RN7SKP57	0	0	0	0	1	0
HMGN1P14	0	0	0	0	0	0
NREP-AS1	0	0	0	0	0	0
ENSG00000297193	0	0	0	0	0	0
EPB41L4A	242	213	502	203	961	712
EPB41L4A-AS1	493	410	827	383	1066	800
SNORA13	0	0	0	0	0	0
ENSG00000250882	0	0	0	0	0	0
ENSG00000251187	0	0	0	0	0	0
ENSG00000251076	0	0	0	0	0	0
ENSG00000248350	0	0	0	0	0	0
ENSG00000304444	9	7	21	5	5	0
EPB41L4A-DT	4	3	3	6	8	9
HMGB3P16	0	0	0	0	0	0
ENSG00000290027	0	0	1	0	0	0
TMEM183AP6	0	0	0	0	0	0
ENSG00000298265	0	0	0	0	0	0
ENSG00000300650	0	0	0	0	0	0
LINC02200	0	0	1	0	0	0
APC	985	790	1584	841	3464	2409
CBX3P3	0	0	0	0	0	0
RNU6-482P	0	0	0	0	0	0
ENSG00000258864	0	0	0	0	0	0
SRP19	589	644	1355	457	1206	1553
REEP5	2129	1911	4411	1492	4357	4289
XBP1P1	1	3	1	2	4	0
ZRSR2P1	0	0	0	0	0	0
ENSG00000302916	1	5	11	1	0	1
ENSG00000304942	0	0	0	0	0	0
ENSG00000304959	0	0	0	0	0	0
DCP2	4536	3906	6212	2257	5096	3777
MCC	915	792	2036	2023	6121	2649
ENSG00000303193	0	0	0	0	0	0
ENSG00000232633	9	6	9	14	35	8
TSSK1B	0	0	0	0	0	0
RNU4ATAC13P	0	0	0	1	0	0
ENSG00000298979	1	3	1	0	1	1
YTHDC2	1568	1569	2846	1122	3357	3184
ENSG00000305424	0	0	1	1	3	9
ENSG00000286839	1	1	0	0	4	0
ENSG00000301391	0	0	0	0	0	0
KCNN2	449	420	851	494	1227	643
ENSG00000300763	0	0	0	0	2	0
RN7SKP89	0	0	0	0	0	0
ENSG00000246316	0	0	0	0	0	0
LINC01957	0	0	0	0	0	0
ENSG00000251132	0	0	0	0	0	0
ENSG00000250242	0	0	0	0	0	0
TRIM36	609	534	1432	650	1837	1457
TRIM36-IT1	0	0	1	0	0	0
ENSG00000249791	0	0	0	0	0	0
PGGT1B	755	737	1709	548	1934	1522
ENSG00000271797	3	5	8	3	15	6
ENSG00000243304	0	0	1	0	1	0
CCDC112	545	552	1079	523	1917	1563
HMGN1P15	0	0	0	0	0	0
ENSG00000306170	0	0	0	0	0	0
ENSG00000289497	0	0	0	0	0	0
CTNNA1P1	0	3	21	2	16	8
AK3P4	0	0	0	0	0	0
ENSG00000308622	0	0	0	0	0	0
ENSG00000249944	0	0	0	0	0	0
ENSG00000249433	0	0	0	0	0	0
CCT5P1	1	2	26	1	10	1
FEM1C	738	716	1149	753	2574	1804
TICAM2	1	0	0	0	2	0
TMED7-TICAM2	2	2	0	3	1	0
TICAM2-AS1	1	0	2	1	3	1
TMED7	2267	2133	3699	1677	4507	3560
ENSG00000249021	0	0	0	0	0	0
ENSG00000248709	1	0	0	0	0	0
H3P24	0	0	2	0	6	1
RNU2-49P	0	0	0	0	0	0
CDO1	454	444	944	624	1626	771
ENSG00000298641	0	0	0	0	2	0
ATG12	1385	1245	2502	1571	4097	2390
AP3S1	2092	1920	3588	2093	5402	4459
ENSG00000298664	0	0	0	0	0	1
ENSG00000294441	0	0	0	0	0	0
LINCADL	0	0	0	0	0	0
ENSG00000294487	0	0	0	0	0	0
ENSG00000294509	0	0	0	0	0	0
LVRN	4	4	2	2	9	5
DDX43P1	0	0	0	0	0	0
ARL14EPL	0	0	0	0	0	0
ENSG00000185641	3745	2406	6754	2416	17448	19568
ENSG00000272265	0	0	1	0	2	0
ENSG00000271918	12	12	18	12	27	27
COMMD10	910	890	1376	928	2191	1606
RNU6-644P	0	0	0	0	0	0
HMGN2P27	0	0	1	0	2	0
ENSG00000300187	0	0	0	0	0	0
ENSG00000250015	0	0	0	0	0	0
SEMA6A-AS1	3	4	41	7	49	11
SEMA6A	19730	16323	35531	12499	36768	25157
RPS14P8	0	0	6	1	4	3
ENSG00000310451	17	8	13	12	21	7
SEMA6A-AS2	26	25	33	14	42	26
ENSG00000305507	0	0	0	0	0	0
ENSG00000298637	6	5	10	4	7	7
RPS17P2	0	0	1	1	2	0
ENSG00000302481	1	0	0	0	0	0
LINC02214	0	0	0	0	0	0
ENSG00000308692	38	24	65	10	64	48
ENSG00000249150	1	3	9	1	6	13
ENSG00000303596	0	0	0	0	0	0
ENSG00000296718	5	10	18	3	2	18
ENSG00000250650	0	0	0	0	0	0
ENSG00000294589	0	0	0	0	0	0
ENSG00000250949	0	0	0	0	0	0
ENSG00000299327	0	0	0	0	0	0
ENSG00000299365	0	2	5	0	0	2
ENSG00000299350	3	0	2	1	2	4
RPL35AP15	0	0	0	0	0	0
ENSG00000285809	0	1	3	0	0	5
LINC00992	16	16	90	4	0	54
ENSG00000251477	0	0	0	0	0	0
LINC02147	0	0	0	0	0	0
ENSG00000306054	0	0	0	0	0	0
RPL7L1P4	0	0	0	0	0	0
ENSG00000306074	0	0	0	0	0	0
LINC02208	0	0	0	0	1	0
LINC02148	0	0	0	0	0	0
ENSG00000296124	0	0	0	0	0	0
ENSG00000296143	0	0	0	0	0	0
LINC02216	0	0	0	0	0	0
ENSG00000286745	0	0	0	0	0	0
LINC02215	0	0	0	0	0	0
RNU7-34P	0	0	0	0	0	0
ENSG00000249426	0	0	0	0	0	0
DTWD2	346	306	890	222	701	753
ENSG00000309729	0	0	0	0	0	0
ENSG00000309751	1	7	17	5	8	3
PTMAP2	3679	3780	11112	3592	13189	6850
MIR1244-2	450	278	862	285	1520	2564
DMXL1-DT	6	10	10	9	27	12
RNU6-373P	0	0	0	0	0	0
ENSG00000250678	0	0	0	0	0	0
CATSPER2P2	0	0	0	0	0	0
DMXL1	1102	841	2103	879	2740	2115
SEPTIN7P10	0	0	0	0	0	0
LAMTOR3P2	0	0	0	0	0	0
RNU6-701P	0	0	0	0	0	0
MIR5706	0	0	0	0	0	0
TNFAIP8	684	719	1292	718	1599	957
RN7SL174P	0	0	0	0	0	0
ENSG00000303613	0	0	0	0	0	3
RNA5SP190	0	0	0	0	0	0
HSD17B4	8791	8331	17424	7833	20671	14521
RPL21P58	0	0	0	0	0	0
FABP5P6	0	0	0	0	0	0
FAM170A	0	2	0	1	0	0
TUBAP15	0	0	0	0	0	0
ENSG00000309632	0	0	0	0	0	0
ENSG00000234259	0	0	1	0	2	0
ENSG00000310132	0	0	0	0	0	0
ENSG00000303506	0	0	0	0	0	0
ENSG00000294678	0	0	0	0	0	0
ENSG00000251293	0	0	0	0	0	0
RNU6-718P	0	0	0	0	0	0
ENSG00000261036	0	0	0	0	0	0
PRR16	45	26	35	19	75	41
PRELID3BP8	0	0	0	0	0	0
ENSG00000248927	72	84	37	2	10	32
RNU4-69P	0	0	0	0	0	0
ENSG00000306263	0	0	0	0	0	0
ENSG00000251135	0	0	0	0	0	0
ENSG00000248853	0	0	0	0	0	0
ENSG00000229855	0	0	0	0	0	0
ENSG00000250847	0	0	0	0	0	0
ENSG00000279860	0	0	0	0	0	0
RPL23AP44	0	0	0	0	0	0
ENSG00000213661	0	0	5	0	0	0
ENSG00000249600	0	0	0	0	0	0
ENSG00000303256	0	0	0	0	0	0
FTMT	0	0	0	0	0	0
ENSG00000297477	0	1	0	0	0	0
SRFBP1	623	573	1253	453	1052	927
LOX	107	113	99	207	459	126
ENSG00000247311	0	0	0	0	0	0
ZNF474	2	2	2	3	5	1
ZNF475	0	0	0	0	0	0
ZNF474-AS1	0	0	0	0	0	0
ENSG00000302128	0	0	0	0	0	0
ENSG00000272139	0	0	1	1	3	1
SNCAIP	328	284	501	183	657	469
ENSG00000249621	0	0	0	0	0	0
ENSG00000289054	0	0	0	0	0	0
ENSG00000249916	1	1	2	2	6	0
ENSG00000287794	0	0	0	0	0	0
MGC32805	51	44	484	38	110	597
ENSG00000294080	2	1	2	0	0	0
ENSG00000294093	0	0	0	0	0	0
ENSG00000309921	0	0	0	0	0	0
LINC02201	0	0	0	0	0	0
ARGFXP1	0	0	0	0	0	0
ENSG00000299525	0	0	0	0	0	0
SNX2	2607	2627	4675	2425	7681	5528
ENSG00000260686	0	0	0	0	0	0
SNX24	420	380	647	431	1563	906
RN7SL689P	2	1	4	2	5	4
PPIC	215	197	578	172	381	362
PPIC-AS1	9	1	3	0	0	1
RN7SL711P	0	0	0	0	0	0
PRDM6-AS1	0	0	0	0	1	0
PRDM6	6	4	2	1	4	5
ENSG00000297075	0	0	1	0	0	0
ENSG00000213655	0	0	0	0	0	0
ENSG00000295918	0	0	0	0	0	0
CEP120	899	816	2167	902	2937	2096
KRT8P33	39	32	82	19	32	15
ENSG00000288766	14	13	19	3	17	20
HMGB3P17	0	0	0	0	0	0
CSNK1G3	1370	1415	2303	1033	3565	2700
ENSG00000288890	3	11	20	4	22	5
KRT18P16	1	2	26	3	18	18
ENSG00000309809	0	0	0	0	0	0
ENSG00000296985	0	0	0	0	0	0
ENSG00000308684	1	0	0	0	0	0
ENSG00000303105	0	0	0	0	0	0
ENSG00000303365	0	0	0	0	0	0
LINC01170	4	4	8	5	12	15
ENSG00000297714	0	0	0	0	0	0
HMGB1P29	0	0	0	0	0	0
ENSG00000297759	0	0	0	0	0	0
ENSG00000251421	0	0	0	0	0	0
ENSG00000297736	0	0	0	0	0	0
ENSG00000248600	0	0	0	0	0	0
ENSG00000251214	0	0	0	0	0	0
ENSG00000250438	0	0	0	0	0	0
ENSG00000248296	0	0	0	0	0	0
ENSG00000289458	34	31	30	187	736	164
ENSG00000294473	0	0	0	0	0	0
ZNF608	1467	1291	2108	1520	4978	2319
ENSG00000249112	0	0	0	0	0	0
ENSG00000251456	0	0	0	0	0	0
ENSG00000294182	0	0	0	1	3	0
ENSG00000242814	2	0	11	1	19	12
LINC02240	10	10	41	19	50	29
ENSG00000248443	0	0	0	0	0	0
ENSG00000249261	0	0	0	0	0	0
ENSG00000288008	0	1	0	0	0	0
ENSG00000250194	0	0	2	0	2	0
HMGB1P22	0	0	0	0	0	0
ENSG00000248752	0	0	0	0	0	0
RN7SKP117	0	0	0	0	0	0
ENSG00000250402	0	0	0	0	0	0
ENSG00000249950	0	0	0	0	0	0
ENSG00000249904	0	0	0	0	0	0
RPSAP37	0	0	0	0	0	0
ENSG00000301797	0	0	0	0	0	0
LINC02039	0	0	0	0	0	0
GRAMD2B	401	355	951	203	455	556
ENSG00000250602	0	0	3	0	1	0
ENSG00000279118	13	7	18	1	33	36
ALDH7A1	4508	4279	6858	4830	12423	5904
RNU6-290P	0	0	0	0	0	0
PHAX	1695	1603	3122	933	2655	2320
ENSG00000230929	0	0	0	0	0	0
SPMIP10	0	0	0	0	0	0
BOLA3P3	0	2	11	1	2	0
HSPE1P10	0	0	0	0	0	0
ENSG00000306091	0	0	0	0	0	0
LMNB1-DT	3	4	1	2	10	2
RNU6-752P	0	0	0	0	0	0
LMNB1	5168	4644	13152	3866	9506	6407
MARCHF3	228	184	482	179	389	342
ENSG00000294118	23	18	23	12	26	17
ENSG00000298097	1	0	0	0	0	0
C5orf63	1	1	2	1	0	0
ENSG00000279446	0	0	0	0	0	0
